ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD_2,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
JSP06,12,JSP06JSP44097908,3,-74.30134,4.41959,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2724,577515.6446,488543.6247,Survey
JSP06,12,JSP06JSP44097908,3,-74.30134,4.41959,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2724,577515.6446,488543.6247,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Spinus spinescens,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Spinus spinescens,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Spinus spinescens,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Spinus spinescens,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Zonotrichia capensis,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Sporathraupis cyanocephala,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Turdus fuscater,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Mecocerculus leucophrys,2724,577303.85,488406.3503,Survey
JSP07,13,JSP07JSP44097928,3,-74.30325,4.41835,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Pyrrhomyias cinnamomeus,2724,577303.85,488406.3503,Survey
JSP08,14,JSP08JSP44097947,3,-74.30248,4.41657,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Colibri cyanotus,2522,577389.4696,488209.6607,Survey
JSP08,14,JSP08JSP44097947,3,-74.30248,4.41657,JSP,3,Vereda Los Robles,9/23/2020,9,23,2020,Pyrrhomyias cinnamomeus,2522,577389.4696,488209.6607,Survey
