ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Atlapetes flaviceps,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Atlapetes flaviceps,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pheugopedius mystacalis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Tangara vassorii,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Myioborus miniatus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Colibri cyanotus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Piaya cayana,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Zimmerius chrysops,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Bubulcus ibis,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Myioborus ornatus,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702804,2,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Elaenia frantzii,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702804,2,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Coeligena torquata,2203,455283.7731,500525.0248,Survey
CESS014,14,CESS014DOR43702804,2,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Synallaxis azarae,2203,455283.7731,500525.0248,Survey
