ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
FLO_H4,42,116324,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Formicarius analis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116325,9,-75.705285,1.508875,CHAP,5,La Murelia,7/12/1912,7,12,1912,Formicarius analis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116329,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Chamaeza nobilis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116330,8,-75.705285,1.508875,CHAP,5,La Murelia,7/11/1912,7,11,1912,Chamaeza campanisona,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116331,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Chamaeza campanisona,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116346,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Myrmothera campanisona,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116347,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Myrmothera campanisona,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116348,12,-75.705285,1.508875,CHAP,5,La Murelia,7/15/1912,7,15,1912,Myrmothera campanisona,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116349,14,-75.705285,1.508875,CHAP,5,La Murelia,7/17/1912,7,17,1912,Myrmothera campanisona,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116350,22,-75.705285,1.508875,CHAP,5,La Murelia,7/25/1912,7,25,1912,Myrmothera dives,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116366,21,-75.705285,1.508875,CHAP,5,La Murelia,7/24/1912,7,24,1912,Synallaxis moesta,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116367,9,-75.705285,1.508875,CHAP,5,La Murelia,7/12/1912,7,12,1912,Synallaxis moesta,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116376,11,-75.595919,1.650134,CHAP,5,Florencia,6/27/1912,6,27,1912,Synallaxis rutilans,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116377,15,-75.595919,1.650134,CHAP,5,Florencia,7/1/1912,7,1,1912,Synallaxis rutilans,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116378,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Synallaxis rutilans,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116384,12,-75.705285,1.508875,CHAP,5,La Murelia,7/15/1912,7,15,1912,Automolus infuscatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116385,9,-75.705285,1.508875,CHAP,5,La Murelia,7/12/1912,7,12,1912,Automolus infuscatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116386,8,-75.705285,1.508875,CHAP,5,La Murelia,7/11/1912,7,11,1912,Automolus infuscatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116387,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Automolus infuscatus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H1,39,116388,12,-75.595919,1.650134,CHAP,5,Florencia,6/28/1912,6,28,1912,Automolus infuscatus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116389,21,-75.705285,1.508875,CHAP,5,La Murelia,7/24/1912,7,24,1912,Anabazenops dorsalis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116390,11,-75.705285,1.508875,CHAP,5,La Murelia,7/14/1912,7,14,1912,Anabazenops dorsalis,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116391,18,-75.595919,1.650134,CHAP,5,Florencia,7/5/1912,7,5,1912,Anabazenops dorsalis,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116393,18,-75.705285,1.508875,CHAP,5,La Murelia,7/21/1912,7,21,1912,Clibanornis rubiginosus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116394,8,-75.705285,1.508875,CHAP,5,La Murelia,7/11/1912,7,11,1912,Clibanornis rubiginosus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116395,11,-75.705285,1.508875,CHAP,5,La Murelia,7/14/1912,7,14,1912,Clibanornis rubiginosus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H1,39,116396,11,-75.595919,1.650134,CHAP,5,Florencia,6/27/1912,6,27,1912,Automolus subulatus,371,433715.2493,182399.8199,Specimen,Historical
FLO_H4,42,116397,14,-75.705285,1.508875,CHAP,5,La Murelia,7/17/1912,7,17,1912,Anabacerthia ruficaudata,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116398,12,-75.705285,1.508875,CHAP,5,La Murelia,7/15/1912,7,15,1912,Anabacerthia ruficaudata,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116399,15,-75.705285,1.508875,CHAP,5,La Murelia,7/18/1912,7,18,1912,Philydor pyrrhodes,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116400,12,-75.705285,1.508875,CHAP,5,La Murelia,7/15/1912,7,15,1912,Ancistrops strigilatus,253,421544.4762,166789.1259,Specimen,Historical
FLO_H4,42,116414,19,-75.705285,1.508875,CHAP,5,La Murelia,7/22/1912,7,22,1912,Sclerurus caudacutus,253,421544.4762,166789.1259,Specimen,Historical
