"Species","TOCHE_H","TOCHE_M","TOCHE_EXT","TOCHE_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Mecocerculus leucophrys",3,49,NA,NA,-0.819417601471043,-0.481079706737373,-0.555349511887091,-0.545341075389226,-0.195356590723309,-0.186341976090321,-0.504739932924982,-1.10789812754476,0.628688256729548,-0.0165534889640115,-0.0519032861971434,-0.255703649629392,-0.243876398485529,-0.185560428903251
"Mecocerculus poecilocercus",0,8,NA,1,-1.08973293612876,-0.84456751324215,-0.890325863371774,-0.650997223377967,-0.65474128451471,-0.520546358270803,-0.56944819843445,-1.86008969571835,0.758954660007037,0.12059069886826,-0.0266712621900038,-0.0976303173244913,-0.0823813138719549,-0.367895745470824
"Mecocerculus stictopterus",5,6,NA,NA,-0.938544762869093,-0.659938786128612,-0.770691452127244,-0.581524687714137,-0.330816179918209,-0.347255197140182,-0.640627290494864,-1.4433848611517,0.773790526602051,0.080876217126015,-0.0639682627747278,-0.272026703593095,-0.137058086229568,-0.302575757487539
"Megaceryle torquata",0,11,NA,1,1.72780813603964,3.4538200398699,2.10053441774147,1.28410236375828,0.847093291341795,-0.576247088634216,0.00645536459980937,3.64645541884426,-1.65213159809193,-3.11691689425852,-0.228475810021796,-0.344707118831075,1.02498144670184,-0.494282715583637
"Melanerpes formicivorus",2,0,1,NA,0.680508802839648,0.182429781326903,0.497433307064769,0.538719949865112,0.146237155942092,-0.112074335605769,0.232934293882945,0.827832714756472,-0.311125256282191,-0.222854230126485,-0.226910927772134,0.441062334520109,0.433463595332395,-0.0216558743261082
"Metallura tyrianthina",11,38,NA,NA,-1.6249594762259,-0.417613581792094,-0.962106510118492,-0.700206936139846,-0.770569049188611,-1.13325439226835,2.28418631053306,-2.50487623995931,-1.90186105008544,0.295201586589828,0.126656546736017,0.0182393172515201,-0.347894330294199,0.0195782020966819
"Metallura williami",0,6,NA,1,-1.49682060492247,-0.434922524958989,-1.08174092136302,-0.652444567870963,-0.774495414092811,-1.09612057202608,2.07064903435182,-2.45523613633345,-1.70139732582494,0.3395063623115,0.191182461116618,-0.0387782425633039,-0.200385083304845,-0.00890236192342897
"Milvago chimachima",0,2,NA,1,1.7234924756208,0.390137099329633,1.23916665678085,2.65329025413292,2.382301968884,1.59608139553892,0.355879998350933,4.10502924375276,-0.423945940339221,1.22568051774062,-0.328019012735589,0.13789192424978,-0.04934323917922,-0.314946385205693
"Mionectes striaticollis",2,11,NA,NA,-0.584358664293232,-0.55031547940495,-0.459641982891467,-0.517841530022294,-0.45842303930471,-0.378200047342079,-0.511210759475929,-1.1523223163188,0.632223304122336,-0.110948689179813,-0.109547655910945,0.0309314230514602,0.0252273054315059,-0.164799091102031
"Momotus aequatorialis",0,3,NA,1,1.2000940566629,1.22673601906285,1.21523977453195,0.755821623814579,4.0137065865791,0.296397687059264,-0.452973320517409,3.53123334924285,-0.288680246224889,-0.161402316324419,-1.85181350978275,-1.91114862396469,-0.142391846103449,0.27075460863832
