"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Dysithamnus puncticeps",8,4,NA,NA,-0.589428087030185,-0.331068865957624,-0.292153807149126,-0.648102534391974,-0.784311326353311,-0.204908886211459,-0.685923076351491,-1.10847322736798,0.940172336583894,-0.26669852258578,0.202830216581779,-0.0502256108003512,-0.087861134639395,-0.124919660979915
"Elaenia brachyptera",0,1,NA,1,-0.564413411266647,-0.584933365738738,-0.38786133614475,-0.442579616386479,-0.275847071259409,-0.303932406857527,-0.284731830192794,-0.985817433501182,0.502324592828796,0.133041852709361,-0.276469255871566,-0.13587285331227,-0.0955662027994711,-0.0742383182229671
"Elaenia flavogaster",2,12,NA,NA,-0.203303637666482,-0.63686019523942,-0.26822692490022,-0.36442301376467,-0.126645204899809,-0.136830215767287,-0.517681586026876,-0.585056738184928,0.753903017996162,0.262419457829788,-0.313157936902096,-0.0162886109656633,-0.0317314138100046,0.0679287092628638
"Empidonax virescens",0,3,NA,1,-0.716496889855955,-0.602242308905632,-0.00503122016225508,-0.457053061316443,-0.35830073424761,-0.402955927503596,0.200580161128211,-1.06064613762943,0.035678121742773,-0.0715627947403297,-0.308131458357795,0.0363561313607836,-0.435141330152927,-0.0192263315462962
"Epinecrophylla fulviventris",3,12,NA,NA,-0.861926454997784,-0.504158297626565,-0.483568865140373,-0.747969304408729,-0.860875441985211,-0.440089747745872,-0.834752087023266,-1.54620925089267,1.06126257682319,-0.292572764956417,0.0287622406093349,-0.0755965109998317,-0.0223709573881189,-0.2780496260664
"Euphonia fulvicrissa",2,3,NA,NA,-0.819417601471043,-0.78687103601917,-0.340007571646938,-0.743627270929739,-0.988482301371712,-0.563869148553458,-0.2717901770909,-1.74655110058435,0.584230887925876,-0.171947105915173,0.00630348293705768,0.250364413793957,-0.229271234460029,-0.123377639975616
"Euphonia minuta",1,2,NA,NA,-0.891650887234226,-0.75802279740768,-0.483568865140373,-0.740732581943746,-0.968850476850711,-0.693837519401423,-0.0970778602153385,-1.89406080060334,0.375670255230285,-0.151666869191213,-0.036667093438269,0.190384282041988,-0.134333284849535,-0.159504258338956
"Euphonia xanthogaster",2,0,1,NA,-0.692811341151788,-0.752253149685381,-0.316080689398032,-0.595998132644102,-0.805906333326411,-0.446278717786251,-0.129431992970072,-1.47319703859238,0.4370703075394,-0.0181613359912771,-0.018222649746456,0.201465052163876,-0.247968534877009,-0.0855800908977555
"Eutoxeres aquila",0,2,NA,1,-0.847490287597661,0.217047667660692,-0.603203276384903,-0.464289783781425,-0.45253349194841,-1.04041984166266,2.34889457604253,-1.6323958342862,-2.26979817340592,-0.225216269351252,0.0826052912182343,-0.292843359232573,0.0512893123108225,0.139010841050096
"Florisuga mellivora",9,8,NA,NA,-1.11985117241325,-0.00796859350893244,-0.842472098873962,-0.503368085092329,-0.790200873709611,-1.15182130238949,2.69831920979365,-2.18637650344594,-2.53332099980196,-0.0824911775116896,0.253448108470917,-0.211060024572501,-0.0703985583456143,0.036809034432389
