"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Eutoxeres aquila",1,2,NA,NA,-0.847490287597661,0.217047667660692,-0.603203276384903,-0.464289783781425,-0.45253349194841,-1.04041984166266,2.34889457604253,-1.57175300124466,-2.40254084041468,0.228820365231331,0.0280633475709208,-0.223365191192242,-0.0240992795198555,0.357489692874771
"Falco sparverius",3,0,1,NA,0.956704320186555,-0.382995695458306,0.545287071562581,1.1552887038816,0.970773785824095,0.624413099199367,1.24885406238158,2.96960336355717,-0.992335595860851,2.02401463567617,-0.0651886119249222,0.607923224336975,-0.420409233782853,-0.0574415078134355
"Grallaria hypoleuca",6,0,1,NA,0.62214380139911,-0.00796859350893244,0.0667494265844628,-0.1892943301121,-0.48787077608621,1.3609005340045,-1.24241415973291,1.60052110821563,1.58154303552339,-0.443472897484722,1.53043344912124,0.187232234019997,-0.191188572602832,0.408266092199754
"Grallaria nuchalis",1,0,1,NA,0.972412154454432,0.240126258549884,0.210310720077898,0.113200668924157,-0.301368443136709,2.09119899876926,-1.27476829248764,2.73119908037824,1.74088508933661,-0.221093391716598,2.12628181179909,0.0166190078732643,-0.430051041366522,0.411487807666334
"Grallaria ruficapilla",3,6,NA,NA,0.709463836477635,0.286283440328268,0.162456955580086,-0.0764014596583776,-0.372043011412309,1.74461667650802,-1.24888498628386,2.18664633621869,1.56977319181037,-0.495891250045275,1.84889074298238,-0.0574613086299293,-0.356360034918936,0.384058215992231
"Grallaria rufula",0,1,NA,1,0.0727958751360036,0.00934034965796156,-0.196446278153502,-0.396264592610592,-0.747010859763411,1.05764100202592,-1.0741726694083,0.65043217441364,1.35344657015685,-0.674054702103287,1.53191573629983,0.00857477039139803,-0.224593281707198,0.195184335390215
"Grallaricula nana",0,1,NA,1,-0.373948269435052,-0.382995695458306,-0.316080689398032,-0.510604807557312,-0.823574975395311,0.259263866816988,-0.92534365873652,-0.43293651834686,1.0687514574864,-0.616984672996654,0.769964777256908,0.265675133936121,-0.0568340914137537,-0.0618201586697003
"Hafferia immaculata",1,0,1,NA,0.28282018956128,-0.065665070731913,-0.220373160402408,-0.315213301002791,0.0677098578580919,0.618224129158987,-1.1712350676725,1.03485822531419,1.25776928291927,-0.244802087763305,0.372018772433594,-0.33802869733989,0.0990891565386883,0.276400581475797
"Hapalopsittaca amazonina",2,0,1,NA,0.897583400834684,-0.111822252510297,0.90419030529617,0.670428298727789,-0.0559706366242084,-0.563869148553458,1.04178761275129,1.603628751254,-1.49556948208733,0.529344287786347,-0.364460822187912,1.62000139731969,0.438164613499379,0.157412176541886
"Haplophaedia aureliae",2,14,NA,NA,-1.3872459798599,-0.111822252510297,-0.91425274562068,-0.662575979321938,-0.748974042215511,-1.10849851210684,2.5106652398162,-2.55516041002527,-2.31123165050962,0.301753715144567,0.198264540127198,-0.266245713787077,-0.309991090317155,0.182867288962831
"Heliangelus exortis",19,20,NA,NA,-1.48016332179658,-0.227215206956259,-1.0099602746163,-0.604682199602081,-0.719526305434011,-1.17038821251063,2.57537350532566,-2.6866517395691,-2.34051827598918,0.48548722838255,0.129661348199844,-0.271260219385378,-0.314568775163185,0.0583572645788131
"Heliodoxa rubinoides",1,1,NA,NA,-1.07995375691891,0.228586963105288,-0.866398981122868,-0.481657917697383,-0.662594014323111,-1.13944336230873,2.53654854601998,-2.05397488648047,-2.57259835483955,0.266240571603598,0.239793276288257,-0.298910040277484,0.0453347999533449,0.205418332664007
"Hellmayrea gularis",1,9,NA,NA,-0.728623162528599,-0.469540411292777,-0.818545216625056,-0.650997223377967,-0.46038622175681,-0.155397125888424,-0.782985474615692,-1.07166096550516,0.913834036509122,-0.292615653522444,0.167088657229271,-0.350219657184911,0.113679647227185,-0.154885093390409
"Hemitriccus granadensis",0,1,NA,1,-1.07029915663156,-0.573394070294142,-0.674983923131621,-0.830467940509526,-0.686152203748311,-0.433900777705492,-1.01593523044977,-1.63495155961841,1.00374781670115,-0.737010537437363,-0.0623521073816805,-0.144069218960588,0.0311980157327513,-0.330274980653417
"Henicorhina leucophrys",15,59,NA,NA,-0.52603174802436,-0.4003046386252,-0.698910805380527,-0.708891003097825,-0.927623645356611,0.0302719753229545,-1.02887688355167,-1.04317212079301,1.16904702252264,-0.680278418751094,0.719989664882372,0.0338759476944203,0.219230130876854,-0.0285936546924334
"Icterus chrysater",4,10,NA,NA,0.377962217655302,0.113194008659327,-0.00503122016225508,-0.0923222490813384,0.403414057167193,0.172618286251678,-0.388265055007941,1.26462911826128,0.235672283938199,0.0499840573821029,-0.188725162568222,-0.266990756357176,0.206824099172438,0.307737328676534
"Iridosornis rufivertex",1,0,1,NA,-0.260409158226354,-0.55031547940495,-0.411788218393655,-0.274687655198891,-0.138424299612409,0.0674057955652301,-0.427090014313622,-0.0806860788524389,0.641965514054666,0.211851361297128,0.0788588980977513,-0.00651012393689974,-0.0601717255719328,-0.0414981329150051
"Kleinothraupis atropileus",0,2,NA,1,-0.294098076608926,-0.417613581792094,-0.38786133614475,-0.387580525652614,-0.0677497313368086,0.0117050652018165,-0.724748035657171,-0.0687663884644141,0.800441546251429,-0.0707809446842667,-0.0857518790964298,-0.176379376642643,0.0231944276033187,-0.0308288651481505
"Lafresnaya lafresnayi",2,13,NA,NA,-1.37280981245978,0.338210269828951,-0.866398981122868,-0.56415655379818,-0.723452670338211,-1.10849851210684,2.45889862740862,-2.25189537159526,-2.56171890999978,0.0155050790072564,0.298071504123555,-0.476776216160268,-0.12293417145987,0.0369471044607383
