"Species","FLOR_H","FLOR_M","FLOR_EXT","FLOR_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Crotophaga major",0,1,NA,1,1.15207672086578,1.35366826895341,1.81341183075459,1.3173912870972,3.4384941281138,1.07620791214705,-0.0453112478077645,3.26817730832138,-0.224368074312885,-0.0845223652256117,1.35769908537746,-0.911703647575212,-0.789905638550163,0.296788324665569
"Cryptopipo holochlora",1,0,1,NA,-0.589428087030185,-0.556085127127248,-0.507495747389279,-0.457053061316443,-0.62529354773321,-0.539113268391941,-0.278261003641847,-1.58253686862162,0.180075928224763,0.0970993044884701,0.00231040965443317,0.0126116688194155,0.0454040258781268,-0.190960623263616
"Crypturellus cinereus",0,8,NA,1,2.08311547548912,0.418985337941123,-0.220373160402408,0.865819805282309,-0.41523302535851,1.62083727570043,-0.368852575355101,1.29625051958152,0.627896552406854,0.949249176056027,-1.14105904286582,0.632563536485701,0.889767823686237,0.592332919354657
"Crypturellus soui",0,1,NA,1,1.43777065457112,0.0266492928248558,-0.459641982891467,0.360696577226549,-0.57228762152651,0.791515290289607,0.0646928035583299,0.281014724522354,0.0277135289790111,0.75086947059005,-0.842018374665778,0.529530117627282,0.80137435266099,0.561239395179548
"Cyanerpes caeruleus",0,29,NA,1,-0.753473778139228,-0.244524150123153,-0.651057040882715,-0.664023323814935,-0.882470448958311,-0.607191938836113,0.0711636301092767,-1.80094809487323,-0.195931376742508,-0.130178791114795,-0.326151038972567,-0.0989864288305959,0.0626576509675863,-0.128909598361126
"Cyanocorax violaceus",7,56,NA,NA,1.58338937851748,0.880557155724968,1.55021612601663,1.3173912870972,1.7030408404574,1.50943581497361,-0.621214810842024,2.74455312742081,0.682777398649852,0.158836577941491,0.43631875556351,0.119159709970213,-0.270463179261618,0.243841833511015
"Cymbilaimus lineatus",2,0,1,NA,0.0749158090312709,0.055497531436346,0.569213953811487,-0.387580525652614,-0.108976562830909,0.135484466009402,-0.92534365873652,-0.273595785620195,1.05039437039562,-0.366036495693691,0.188335648368218,0.162503422917908,-0.152655895829968,0.0969104647861084
"Cyphorhinus arada",3,0,1,NA,-0.332972026892492,-0.348377809124518,-0.603203276384903,-0.552577797854208,-0.747010859763411,0.0240830052825751,-0.92534365873652,-1.32942442602229,1.04505804493335,0.21407862292607,-0.3144728873081,-0.0570980542753911,0.112604056691012,-0.0836958120314945
"Dacnis cayana",5,0,1,NA,-0.692811341151788,-0.57916371801644,-0.579276394135997,-0.590208754672116,-0.650814919610511,-0.501979448149665,0.0193970177017028,-1.70550282523026,-0.133906765449836,0.10500914199632,-0.107817560160626,-0.0108219166545216,-0.0709757222728275,-0.0821753842598579
"Dacnis lineata",5,0,1,NA,-0.819417601471043,-0.625320899794824,-0.651057040882715,-0.623497678011034,-0.711673575625611,-0.588625028714975,0.0970469363130635,-1.86466589130684,-0.236467814728444,0.0996369799981473,-0.120647274235141,-0.0295127524627543,-0.0927635652693969,-0.126318738897851
