"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Elanoides forficatus",0,5,NA,1,1.93415055900018,0.326670974384354,0.975970952042887,4.48997041574541,3.9685533901808,0.612035159118608,1.45592051201188,5.6209134098039,-2.1255857171212,3.04914722581989,-1.5834117919307,0.296384759624958,0.344465393052789,-1.69007350784688
"Emberizoides herbicola",0,2,NA,1,-0.122232049131356,-0.509927945348863,-0.316080689398032,-0.470079161753411,0.391634962454593,-0.000672874878941999,-0.880047872879893,-0.145233522637593,1.06952473134243,0.101139132024796,-0.316232515861109,-0.389995437398047,-0.0259806625653028,0.156819085305746
"Eubucco bourcierii",3,0,1,NA,0.0999029911569828,-0.181058025177874,-0.0768118669089728,-0.442579616386479,-0.48394441118201,-0.167775065969183,-0.621214810842024,-0.242309179064277,0.666209935718822,-0.506901728967942,0.0487648005018559,0.190708547602079,0.290902107776634,0.19071841659329
"Euchrepomis callinota",0,1,NA,1,-1.16196622189195,-0.458001115848181,-0.770691452127244,-0.721917103534793,-0.701857663365111,-0.582436058674596,-0.795927127717586,-1.66091576715129,0.83641974099304,-0.384854677417848,0.0649637733998234,-0.400066732046856,0.100498279026557,-0.478540362244597
"Euphonia laniirostris",0,4,NA,1,-0.584358664293232,-0.78687103601917,-0.124665631406785,-0.601787510616088,-0.784311326353311,-0.390577987422837,-0.0647237274606048,-1.20330603148516,0.376766265229657,-0.259551353177513,-0.189727841692794,0.489144700512662,-0.216034354812266,0.046975354359264
"Euphonia xanthogaster",2,11,NA,NA,-0.692811341151788,-0.752253149685381,-0.316080689398032,-0.595998132644102,-0.805906333326411,-0.446278717786251,-0.129431992970072,-1.35026876856205,0.412478463729832,-0.205520185172453,-0.102441683594671,0.348594247719716,-0.124627185804664,-0.0651079252575956
"Eutoxeres aquila",0,5,NA,1,-0.847490287597661,0.217047667660692,-0.603203276384903,-0.464289783781425,-0.45253349194841,-1.04041984166266,2.34889457604253,-1.54301895039367,-2.28709137358259,0.106649204622069,0.160599970698399,-0.187066534704697,0.064081102543545,0.228269754457301
"Falco rufigularis",2,0,1,NA,1.22649041189442,-0.238754502400855,0.856336540798358,1.39265320073302,0.607585032185594,0.568712368835953,1.02884595964939,2.18028602976563,-0.863236097373301,0.802179890353295,-0.291196414856838,1.27258280590395,-0.187843854987291,0.0521968052914016
"Forpus conspicillatus",0,3,NA,1,-0.155920967513929,-0.590703013461036,0.832409658549452,-0.367317702750663,-0.750937224667611,-0.848561770410905,0.905900255181405,-0.708802770018302,-0.807319677977904,-0.669269055586338,-0.86939110665321,1.14943419107253,-0.168027717310041,0.323500789789791
"Grallaria hypoleuca",3,5,NA,NA,0.62214380139911,-0.00796859350893244,0.0667494265844628,-0.1892943301121,-0.48787077608621,1.3609005340045,-1.24241415973291,1.08643152215734,1.59714792045591,-0.411836306860765,1.08851682108579,0.395944879157718,-0.35461887780181,0.369838046342006
