Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Crotophaga ani,213,Cuculidae,Cuculiformes,AVIBASE-469BC7B8,121,6,2,4,,,C,1,3,,,C,,,,,,0,34,,1,B,2,80,,,C,1,0,1,,A,22,9,7,6,8,30.6,18.4,9.9,21.1,35.8,144,35.5,107.3,24.8,180.6,110.1,Dunning,NA,NO,NA,NA,Human Modified,3,1,Carnivore,Omnivore,Insessorial,
Crotophaga major,214,Cuculidae,Cuculiformes,AVIBASE-0DD11B75,22,1,,,,,,,,,,,,,,,,1,21,,,C,0,1,,1,B,,,,,,10,3,4,3,8,47.2,32.8,13.7,21.5,41,193.6,46,147.8,23.7,252.2,148.3,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Crotophaga sulcirostris,215,Cuculidae,Cuculiformes,AVIBASE-C5B34740,3,0,,,,,,,,,,,,,,,,0,3,,1,B,,,,,,,,,,,15,5,4,6,4,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103,19.3,162.7,82,Dunning,NA,NO,NA,NA,Human Modified,3,1,Carnivore,Invertivore,Terrestrial,
Cryptoleucopteryx plumbea,216,Accipitridae,Accipitriformes,AVIBASE-A6775D0C,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,0,4,32.1,21,11.2,16.7,58.9,238,74.2,164.8,31,145.4,482,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,
Cryptopipo holochlora,217,Pipridae,Passeriformes,AVIBASE-B829B8FF,2,3,2,2,,,C,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,11,5,6,0,8,14.1,7.4,4,4.1,14.9,71,14.3,56.8,20.1,45.2,14.9,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
Crypturellus berlepschi,218,Tinamidae,Tinamiformes,AVIBASE-9B036853,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,2,4,27.9,10.5,5.3,6.5,53.4,164.6,38.1,126.5,23.3,54.2,516.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,
Crypturellus cinereus,219,Tinamidae,Tinamiformes,AVIBASE-7C90F8DB,8,0,,,,,,,,,,,,,,,,,,,,,0,8,,1,B,,,,,,8,3,5,0,3,31,10.4,5.2,5.4,49.8,162.4,30.1,132,18.7,55.9,506.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,
Crypturellus soui,220,Tinamidae,Tinamiformes,AVIBASE-39DD9DD7,10,0,0,4,,1,B,,,,,,,,,,,0,5,,1,B,0,1,,1,B,,,,,,18,8,7,3,5,24.2,8,4.2,3.9,36.4,127.5,32.9,96.4,25.4,47.9,216.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,
Cyanerpes caeruleus,221,Thraupidae,Passeriformes,AVIBASE-A0A7D1B2,39,0,0,10,,1,B,,,,,,,,,,,,,,,,0,29,,1,B,,,,,,16,6,10,0,4,19.5,14.7,3.4,3.3,13.8,56.7,14.4,42.4,25.5,32.1,12,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Cyanerpes cyaneus,222,Thraupidae,Passeriformes,AVIBASE-5A126D27,2,20,20,2,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,17,8,8,1,8,19.4,12.8,3.8,3.6,13.7,60.9,15.7,44.5,26,34.8,14,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Cyanocorax affinis,223,Corvidae,Passeriformes,AVIBASE-C63A2BBF,37,2,,,,,,,,,,,,,,,,2,37,,,C,,,,,,,,,,,10,2,8,0,4,38.4,23.1,12.2,13.5,50.1,167.8,17.1,150.7,10.2,160,212,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
Cyanocorax violaceus,224,Corvidae,Passeriformes,AVIBASE-6D69986E,56,7,,,,,,,,,,,,,,,,,,,,,7,56,,,C,,,,,,12,3,8,1,4,39,24.9,12.6,14.6,48,193.6,28.5,165,14.8,163.8,262,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Cyanocorax yncas,225,Corvidae,Passeriformes,AVIBASE-361B447A,167,10,,,,,,7,75,,,C,0,86,,1,B,,,,,,,,,,,3,6,,,C,30,9,20,1,8,29.6,16.2,9.3,9.9,38.7,121.5,9.5,112.4,7.8,139.3,78.5,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,
Cyanoloxia cyanoides,226,Cardinalidae,Passeriformes,AVIBASE-BD833C24,10,3,3,8,,,C,,,,,,,,,,,0,2,,1,B,,,,,,,,,,,35,13,21,1,6,19.6,14.9,10.2,13.9,21.1,79.6,10.8,67.2,13.8,66.8,32.5,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Insessorial,
Cyanolyca armillata,227,Corvidae,Passeriformes,AVIBASE-423B3BE4,24,11,,,,,,,,,,,11,24,,,C,,,,,,,,,,,,,,,,11,1,8,2,4,29.5,16.2,9.2,10.3,40.9,137.6,11.8,125.1,8.7,164.2,200,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Cyclarhis gujanensis,228,Vireonidae,Passeriformes,AVIBASE-8776BD04,35,2,,,,,,0,1,,1,B,,,,,,2,34,,,C,,,,,,,,,,,69,17,40,12,4,18,11.1,5.8,9.2,22.8,76.2,11.2,64.9,14.8,64.1,28.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Cyclarhis nigrirostris,229,Vireonidae,Passeriformes,AVIBASE-444E5987,6,3,,,,,,1,2,,,C,1,4,,,C,,,,,,,,,,,1,0,1,,A,16,4,7,5,4,18.6,10.7,5.3,7.3,22.6,76.7,10.4,66.2,13.5,62.6,31.9,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Cymbilaimus lineatus,230,Thamnophilidae,Passeriformes,AVIBASE-86C7F489,0,8,6,0,1,,A,,,,,,,,,,,,,,,,2,0,1,,A,,,,,,9,3,6,0,4,24.7,14.6,8.5,8.9,25.8,75.8,7.7,68.9,10.1,71.5,35.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Cyphorhinus arada,231,Troglodytidae,Passeriformes,AVIBASE-FAF1A289,0,3,,,,,,,,,,,,,,,,,,,,,3,0,1,,A,,,,,,20,2,9,9,4,17.7,12.4,3.6,5,24,64.4,6.5,57,10.1,39,20.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,
Cyphorhinus phaeocephalus,232,Troglodytidae,Passeriformes,AVIBASE-AC56BC49,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,8,14,15,19.5,13.2,3.5,5.3,23.7,63.1,6.7,56.6,10.6,32.6,24.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Cypseloides cryptus,233,Apodidae,Caprimulgiformes,AVIBASE-0770CE13,10,0,0,10,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,1,4,8.6,3.7,3.7,2.4,16,137.2,93.1,44.1,67.8,44.8,34.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,
Dacnis cayana,234,Thraupidae,Passeriformes,AVIBASE-C72B6A62,4,10,5,4,,,C,,,,,,,,,,,,,,,,5,0,1,,A,,,,,,30,9,20,1,4,13.7,8,3.7,4.2,15.5,61.8,15.5,47.3,24.7,43.9,13,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Dacnis lineata,235,Thraupidae,Passeriformes,AVIBASE-B2FA0B23,0,6,,,,,,,,,,,,,,,,1,0,1,,A,5,0,1,,A,,,,,,15,7,8,0,9,12.9,7.6,3.4,3.5,14.1,59.5,15.3,43.7,25.9,40.8,11,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Dacnis venusta,236,Thraupidae,Passeriformes,AVIBASE-223EB3AD,5,5,2,5,,,C,1,0,1,,A,,,,,,,,,,,,,,,,2,0,1,,A,16,7,9,0,4,13.1,8.9,3.8,3.9,14.8,64.6,15.9,44.5,26.3,38.8,16.1,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,
Daptrius ater,237,Falconidae,Falconiformes,AVIBASE-9D271B2D,7,0,,,,,,,,,,,,,,,,,,,,,0,7,,1,B,,,,,,8,4,3,1,6,33.1,21.1,12,15,48.3,310.7,98.5,215.2,31.4,199.4,351.8,Dunning,NA,NO,NA,NA,Forest,2,2,Carnivore,Omnivore,Terrestrial,
Dendrocincla fuliginosa,238,Furnariidae,Passeriformes,AVIBASE-A31278C7,34,2,1,4,,,C,,,,,,,,,,,1,10,,,C,0,20,,1,B,,,,,,44,8,17,19,11,29.9,20,6.4,6.6,24.7,104.9,18.9,84.1,18.3,86.7,38.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dendrocincla tyrannina,239,Furnariidae,Passeriformes,AVIBASE-871963BC,8,3,,,,,,0,1,,1,B,3,7,,,C,,,,,,,,,,,,,,,,24,2,5,17,4,35.8,23,7.5,7.9,25.4,122.3,22.1,101.2,17.9,121.1,54.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dendrocolaptes picumnus,240,Furnariidae,Passeriformes,AVIBASE-3459505D,1,5,,,,,,3,0,1,,A,,,,,,,,,,,1,1,,,C,1,0,1,,A,19,5,9,5,4,40.5,28.4,8.3,8.3,28.5,129.6,23.3,108.2,17.7,121.7,76.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dendrocolaptes sanctithomae,241,Furnariidae,Passeriformes,AVIBASE-89B7BA8E,3,1,0,3,,1,B,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,20,3,7,10,2,39.9,27.6,8.9,8.3,29.5,126.1,25.3,101.1,20,114.2,66.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dendrocygna autumnalis,242,Anatidae,Anseriformes,AVIBASE-C01A22D6,17,0,,,,,,,,,,,,,,,,0,17,,1,B,,,,,,,,,,,6,2,3,1,4,50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,32.7,66,755.3,Dunning,NA,NO,NA,NA,Wetland,3,2,Herbivore,Herbivore terrestrial,Terrestrial,
Dendroplex picus,243,Furnariidae,Passeriformes,AVIBASE-9C163605,22,2,,,,,,,,,,,,,,,,2,11,,,C,0,11,,1,B,,,,,,20,7,9,4,4,28.6,22.6,4.8,6.5,20.7,98.2,18,83,17.8,83.4,41.3,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Dichrozona cincta,244,Thamnophilidae,Passeriformes,AVIBASE-4D776E0B,0,3,,,,,,,,,,,,,,,,,,,,,3,0,1,,A,,,,,,10,5,4,1,4,17.8,10.7,3.5,3.6,20.9,59.4,6.8,52.8,11.4,26.4,16,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,
Diglossa albilatera,245,Thraupidae,Passeriformes,AVIBASE-C33D6D15,43,24,,,,,,0,5,,1,B,5,24,,,C,,,,,,,,,,,19,14,,,C,15,6,8,1,4,13.1,7.3,3.1,4.6,19.8,56.7,9.6,47.7,16.7,43.5,9.8,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Nectarivore,Insessorial,
Diglossa caerulescens,246,Thraupidae,Passeriformes,AVIBASE-C14678F4,20,3,,,,,,,,,,,0,7,,1,B,,,,,,,,,,,3,13,,,C,16,7,6,3,10,17.1,9.8,2.7,4.1,19.9,68.1,11.9,56.2,17.4,54.2,14.4,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Diglossa cyanea,247,Thraupidae,Passeriformes,AVIBASE-480CCA00,58,27,,,,,,0,2,,1,B,10,39,,,C,,,,,,,,,,,17,17,,,C,109,20,23,66,54,18,11.4,3.3,5.1,22.5,73.6,13.8,60,18.6,63,17,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Frugivore,Insessorial,
Diglossa humeralis,248,Thraupidae,Passeriformes,AVIBASE-CC7387DB,12,6,,,,,,,,,,,2,1,,,C,,,,,,,,,,,4,11,,,C,14,2,5,7,4,13.9,8.1,2.3,4.4,22.4,67.4,11.7,57.6,16.9,59.2,13.1,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Nectarivore,Insessorial,
Diglossa lafresnayii,249,Thraupidae,Passeriformes,AVIBASE-2C186D87,2,0,,,,,,,,,,,0,2,,1,B,,,,,,,,,,,,,,,,19,6,10,3,4,17.3,9.3,2.6,4.9,24.8,70.9,11.4,60,16,63.4,16,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Nectarivore,Insessorial,
Diglossa sittoides,250,Thraupidae,Passeriformes,AVIBASE-4D0ECEE5,6,4,,,,,,3,6,,,C,1,0,1,,A,,,,,,,,,,,,,,,,16,7,5,4,4,12.9,7.6,2.5,4.4,18.7,57.1,13.1,46.9,21.9,46.2,9,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,
Discosura conversii,251,Trochilidae,Caprimulgiformes,AVIBASE-88B5FB8A,0,6,6,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,4,14.4,10,1.3,1.3,6.4,42.2,29.2,13,69.2,42,3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Discosura popelairii,252,Trochilidae,Caprimulgiformes,AVIBASE-592083CC,0,1,1,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,3,15.7,11.7,1.3,1.6,4.1,33.2,21.3,11.7,64.8,20,2.5,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Dolichonyx oryzivorus,253,Icteridae,Passeriformes,AVIBASE-F845062F,0,2,,,,,,1,0,1,,A,,,,,,,,,,,1,0,1,,A,,,,,,5,2,3,0,4,16.2,9.8,5.9,7.6,26.5,90.2,32,58.5,35.4,61.8,31.5,Dunning,NA,NO,NA,NA,Grassland,1,3,Omnivore,Granivore,Generalist,
Donacobius atricapilla,254,Donacobiidae,Passeriformes,AVIBASE-878C7D44,15,9,,,,,,,,,,,,,,,,1,7,,,C,8,8,,,C,,,,,,7,3,3,1,4,26.1,14.9,4.6,5.3,31.7,81.1,7.7,72.5,9.6,98.5,36.8,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Invertivore,Insessorial,
Doryfera johannae,255,Trochilidae,Caprimulgiformes,AVIBASE-60EFC383,2,0,,,,,,,,,,,,,,,,,,,,,0,2,,1,B,,,,,,9,4,5,0,4,30.6,25.6,1.9,1.9,5.3,52.8,34.5,18.2,65.5,28.2,4.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Doryfera ludovicae,256,Trochilidae,Caprimulgiformes,AVIBASE-0EB01930,16,0,,,,,,0,3,,1,B,,,,,,,,,,,,,,,,0,13,,1,B,17,6,7,4,5,37.6,30.6,2.8,2.3,5.8,57.4,35.2,22.1,61.5,34.7,6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Drymophila striaticeps,257,Thamnophilidae,Passeriformes,AVIBASE-C48433AA,5,0,,,,,,,,,,,0,5,,1,B,,,,,,,,,,,,,,,,8,4,4,0,4,19.7,8.9,4.2,3.5,19.1,53,6,48.4,10.9,74.7,12.2,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dryobates affinis,258,Picidae,Piciformes,AVIBASE-E6263EA8,2,2,,,,,,,,,,,,,,,,,,,,,2,2,,,C,,,,,,7,2,5,0,4,22.1,17.6,5.6,6.7,16.2,91.9,18.9,72.6,20.7,62.5,34.8,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dryobates dignus,259,Picidae,Piciformes,AVIBASE-34E5F17C,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,5,1,4,0,5,21,15.8,7.5,6.1,20.3,96.6,23.3,73.3,24.1,61.2,37.6,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dryobates fumigatus,260,Picidae,Piciformes,AVIBASE-5481FBB2,10,7,,,,,,3,3,,,C,0,4,,1,B,,,,,,,,,,,4,3,,,C,14,5,8,1,4,22,16.9,6.9,6.7,18,95.1,19.1,76.4,20,61.8,36.2,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dryobates kirkii,261,Picidae,Piciformes,AVIBASE-CB586CF6,3,8,6,0,1,,A,,,,,,,,,,,2,3,,,C,,,,,,,,,,,7,4,3,0,4,20.9,16.2,5.3,5.9,16.5,86.1,15.4,72.8,17.5,58.5,28.8,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Dryobates nigriceps,262,Picidae,Piciformes,AVIBASE-FED6FBFC,1,0,,,,,,,,,,,0,1,,1,B,,,,,,,,,,,,,,,,21,10,11,0,4,24.3,16.9,6.2,6.9,19.4,97.8,18.2,79.5,18.6,68.9,44,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dryobates passerinus,263,Picidae,Piciformes,AVIBASE-898101E6,1,0,,,,,,,,,,,,,,,,,,,,,0,1,,1,B,,,,,,12,7,5,0,4,18.7,15.9,5.5,5.3,14.3,76.6,11.5,65.1,15.1,46.9,32.1,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Dryocopus lineatus,264,Picidae,Piciformes,AVIBASE-3CD8FECC,3,0,0,1,,1,B,,,,,,,,,,,0,2,,1,B,,,,,,,,,,,34,13,20,1,15,41.3,30.5,11,10.2,28.6,184.7,41,144.9,22,122,183.2,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,
Dubusia taeniata,265,Thraupidae,Passeriformes,AVIBASE-13B9C70F,7,3,,,,,,,,,,,0,4,,1,B,,,,,,,,,,,3,3,,,C,21,8,11,2,4,22.2,10.7,5.7,7.4,28.2,90.5,12.4,78.4,13.6,91.7,37,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
Dysithamnus mentalis,266,Thamnophilidae,Passeriformes,AVIBASE-90AD65F2,20,8,,,,,,6,20,,,C,,,,,,2,0,1,,A,,,,,,,,,,,66,18,43,5,9,15.8,9.2,4.2,4.6,19,59.8,6.7,54,11.1,42.6,14.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Dysithamnus puncticeps,267,Thamnophilidae,Passeriformes,AVIBASE-D8D88AC0,4,8,8,4,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,0,4,18,10.6,4.9,5.1,20.3,57.8,8.2,51.1,13.8,37.1,14.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Elaenia brachyptera,268,Tyrannidae,Passeriformes,AVIBASE-21774F5F,1,0,0,1,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,13.6,7.5,4.5,3.6,18.7,72,14.4,57.6,20,63,15.4,DataFromSplit,NA,NO,NA,NA,Woodland,3,2,Omnivore,Omnivore,Insessorial,
Elaenia chiriquensis,269,Tyrannidae,Passeriformes,AVIBASE-6AC0CC9E,4,15,,,,,,12,4,,,C,2,0,1,,A,,,,,,,,,,,1,0,1,,A,6,2,3,1,4,12.8,7.8,4.3,4.1,16.4,72.4,15,57.3,20.8,62,15.4,Dunning,NA,NO,NA,NA,Shrubland,3,2,Omnivore,Omnivore,Insessorial,
Elaenia flavogaster,270,Tyrannidae,Passeriformes,AVIBASE-B655AA73,61,6,2,12,,,C,1,3,,,C,,,,,,3,45,,,C,,,,,,0,1,,1,B,80,19,16,45,12,12.7,7.2,5,4,21.4,77.4,12.7,64.5,16.4,70.6,24.8,Dunning,NA,NO,NA,NA,Woodland,3,1,Omnivore,Invertivore,Insessorial,
Elaenia frantzii,271,Tyrannidae,Passeriformes,AVIBASE-97AD0B38,43,1,,,,,,0,14,,1,B,1,23,,,C,,,,,,,,,,,0,6,,1,B,22,6,10,6,7,12.6,7,4.4,3.6,16.6,74.6,15,62.5,19.3,65.4,19.6,Dunning,NA,NO,NA,NA,Forest,3,1,Herbivore,Frugivore,Insessorial,
Elaenia gigas,272,Tyrannidae,Passeriformes,AVIBASE-2956BBB3,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,11,3,5,3,8,15.6,8.1,4.9,4.3,19.4,89.5,17.5,72,19.5,74.1,31,Dunning,NA,NO,NA,NA,Shrubland,1,2,Omnivore,Invertivore,Insessorial,
Elaenia obscura,273,Tyrannidae,Passeriformes,AVIBASE-E6A70247,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,,A,13,5,8,0,1,15.8,8.2,4.1,4.3,20.3,84.7,13.1,71.6,15.4,84.5,23.9,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,
Elaenia parvirostris,274,Tyrannidae,Passeriformes,AVIBASE-93E59B5B,3,5,,,,,,,,,,,,,,,,,,,,,5,3,,,C,,,,,,12,6,6,0,4,13.2,6.5,3.5,3.1,18.6,69.4,13.9,55.9,19.9,64.9,13.8,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,
Elanoides forficatus,275,Accipitridae,Accipitriformes,AVIBASE-1BAC6645,5,2,,,,,,0,5,,1,B,1,0,1,,A,,,,,,1,0,1,,A,,,,,,5,2,3,0,4,29.4,19,10.2,12.3,33.5,412.8,189.1,214.7,46.9,279.2,416.2,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Generalist,
Emberizoides herbicola,276,Thraupidae,Passeriformes,AVIBASE-BA6FDF30,2,0,,,,,,0,2,,1,B,,,,,,,,,,,,,,,,,,,,,10,4,5,1,4,14.9,8.3,4.8,6.5,23.6,70.1,7.4,60.9,10.8,97,27.6,Dunning,NA,NO,NA,NA,Grassland,3,1,Omnivore,Granivore,Terrestrial,
Empidonax traillii,277,Tyrannidae,Passeriformes,AVIBASE-5BC4E0EF,0,4,,,,,,,,,,,,,,,,4,0,1,,A,,,,,,,,,,,15,2,2,11,4,13.1,8.5,5.9,4.3,18.4,66.5,16.2,52.6,23.5,59.1,13.4,Dunning,NA,NO,NA,NA,Shrubland,2,3,Carnivore,Invertivore,Insessorial,
Empidonax virescens,278,Tyrannidae,Passeriformes,AVIBASE-2778A3F4,11,0,0,3,,1,B,,,,,,,,,,,0,8,,1,B,,,,,,,,,,,48,5,8,35,5,13.3,9.1,6.1,4,17.1,71,19.9,52.1,27.5,58.8,12.6,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,
Empidonomus varius,279,Tyrannidae,Passeriformes,AVIBASE-BD902263,8,0,,,,,,,,,,,,,,,,,,,,,0,8,,1,B,,,,,,20,9,8,3,4,17.5,10.5,6.3,5.5,15.3,96.8,23.5,73.3,24.2,80.6,27.1,Dunning,NA,NO,NA,NA,Woodland,2,3,Omnivore,Invertivore,Insessorial,
Ensifera ensifera,280,Trochilidae,Caprimulgiformes,AVIBASE-191F838F,12,3,,,,,,,,,,,2,12,,,C,,,,,,,,,,,1,0,1,,A,14,8,6,0,3,97.4,87.2,2.5,3,4.8,76.3,45.6,32.3,58.7,60.5,11.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Epinecrophylla fulviventris,281,Thamnophilidae,Passeriformes,AVIBASE-CB6DE0FA,12,3,3,12,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,15,0,11,15,9.7,4.1,4.4,16.5,50.9,5.9,44.9,11.5,33.2,10.4,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Epinecrophylla haematonota,282,Thamnophilidae,Passeriformes,AVIBASE-BF22DBB9,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,20,9,11,0,11,14.8,9.2,3.8,4,16.1,50.2,6.9,44.1,13.6,37.8,8.7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Eriocnemis derbyi,283,Trochilidae,Caprimulgiformes,AVIBASE-AD8A1A5A,1,19,,,,,,,,,,,19,1,,,C,,,,,,,,,,,,,,,,5,2,3,0,4,22.9,18,1.6,2,7.2,56.2,34.8,21.2,62.1,32.4,5.5,Updated_literature,Dunning (2021),NO,NA,NA,Forest,2,1,Herbivore,Nectarivore,Aerial,
Eriocnemis vestita,284,Trochilidae,Caprimulgiformes,AVIBASE-B8D63EF5,14,4,,,,,,,,,,,0,3,,1,B,,,,,,,,,,,4,11,,,C,8,4,4,0,4,22.3,16.4,2,1.5,6.1,58.5,35.9,22.5,61.5,42.1,4.5,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Nectarivore,Aerial,
Eubucco bourcierii,285,Capitonidae,Piciformes,AVIBASE-81825EC2,2,3,,,,,,3,0,1,,A,,,,,,,,,,,,,,,,0,2,,1,B,9,4,5,0,4,20.6,14.8,5.8,8.6,20.9,72,10.6,60.9,14.8,52.4,37,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Euchrepomis callinota,286,Thamnophilidae,Passeriformes,AVIBASE-3F65C962,1,2,,,,,,0,1,,1,B,,,,,,,,,,,,,,,,2,0,1,,A,6,1,3,2,3,15.8,8.3,2.9,3.1,14.2,52.7,6.5,46.7,12.1,41.3,7,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Eucometis penicillata,287,Thraupidae,Passeriformes,AVIBASE-05296BB4,12,2,,,,,,,,,,,,,,,,2,12,,,C,,,,,,,,,,,13,3,5,5,6,18,11.6,6.4,6.9,20.4,88.7,16.3,73.2,18.2,76.8,27,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Euphonia chrysopasta,288,Fringillidae,Passeriformes,AVIBASE-313E4A17,5,0,,,,,,,,,,,,,,,,,,,,,0,5,,1,B,,,,,,9,4,5,0,4,11.5,6.2,5,5.3,14.6,56.9,12,45,21,35.1,14,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Frugivore,Insessorial,
