Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Saltator maximus,663,Thraupidae,Passeriformes,AVIBASE-8A80DE66,41,10,5,14,,,C,,,,,,,,,,,0,9,,1,B,5,18,,,C,,,,,,51,12,18,21,4,20.7,14.7,8.9,10.4,25.3,96.1,16.1,79.2,16.9,88.9,47.6,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Frugivore,Insessorial,
Saltator striatipectus,664,Thraupidae,Passeriformes,AVIBASE-4875898E,39,20,,,,,,11,13,,,C,1,0,1,,A,7,26,,,C,,,,,,1,0,1,,A,29,3,2,24,4,19.5,13.1,8.6,11.8,27.3,90.8,13.9,77.6,15.3,87.4,39,Dunning,NA,NO,NA,NA,Shrubland,2,1,Omnivore,Omnivore,Insessorial,
Sapayoa aenigma,665,Sapayoidae,Passeriformes,AVIBASE-D2A3B070,5,5,5,5,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,1,4,16.8,10.3,7.7,5,14.5,80.2,15.2,65,19,61.5,20.8,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Saucerottia cyanifrons,666,Trochilidae,Caprimulgiformes,AVIBASE-E9468157,17,0,,,,,,0,15,,1,B,,,,,,,,,,,,,,,,0,2,,1,B,4,0,0,4,4,20.3,15.2,2.3,1.7,5.6,56,35.6,20.4,63.5,35.2,5,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Nectarivore,Aerial,
Sayornis nigricans,667,Tyrannidae,Passeriformes,AVIBASE-B182DED2,3,6,1,0,1,,A,1,0,1,,A,4,3,,,C,,,,,,,,,,,,,,,,23,10,10,3,4,18.1,9.9,5.9,4,17.4,86.3,19.4,68.9,22,77.2,18.6,Dunning,NA,NO,NA,NA,Rock,2,1,Carnivore,Invertivore,Insessorial,
Schiffornis major,668,Tityridae,Passeriformes,AVIBASE-FDC79991,2,0,,,,,,,,,,,,,,,,,,,,,0,2,,1,B,,,,,,3,1,2,0,3,15.9,9.4,4.8,5.4,18.8,78.3,9.3,69,11.7,55.3,31,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,
Schiffornis turdina,669,Tityridae,Passeriformes,AVIBASE-D54C8603,0,1,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,,,,,,14,4,7,3,4,17,9.7,4.9,6,22.1,92.1,14.1,74.5,15.9,67.7,31.7,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Schiffornis veraepacis,670,Tityridae,Passeriformes,AVIBASE-BB758322,0,2,2,0,1,,A,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,6,2,0,21.2,10.4,5.3,5.7,21.1,87.3,15.8,71.4,18,70.2,31.1,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,
Schistes albogularis,671,Trochilidae,Caprimulgiformes,AVIBASE-DBD9E3FF,4,0,,,,,,0,4,,1,B,,,,,,,,,,,,,,,,,,,,,11,5,4,2,7,17.7,14,1.8,1.6,4.7,55.2,33.8,21.8,60.9,30.9,3.6,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Schistes geoffroyi,672,Trochilidae,Caprimulgiformes,AVIBASE-1638D555,1,2,,,,,,,,,,,0,1,,1,B,,,,,,,,,,,2,0,1,,A,14,4,7,3,7,17.1,11.7,2.5,2.1,5.4,49.1,30.6,17.8,63.4,34.8,3.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
