Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Milvago chimachima;442;Falconidae;Falconiformes;AVIBASE-BA33DDD5;40;2;0;1;;;;1;B;;;;;;;;;1;3;3;;;;C;0;2;;;;1;B;1;25;25;;;;C;0;9;;;;1;B;;;;;;;;10;4;4;2;4;30.5;20.3;11.3;14.5;49.4;285.9;85.5;199.9;29.9;198.4;315.2;Dunning;NA;NO;NA;NA;Grassland;3;1;Carnivore;Omnivore;Terrestrial;0;0
Mimus gilvus;443;Mimidae;Passeriformes;AVIBASE-1281617B;3;2;;;;;;;;;;;;;;;;1;2;2;;;;C;;;;;;;;1;1;1;;;;C;;;;;;;;;;;;;;;12;6;6;0;7;22.9;13.9;5.1;5.8;33;105.8;23.9;80.7;22.8;115.7;52;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Generalist;0;0
Mionectes oleagineus;444;Tyrannidae;Passeriformes;AVIBASE-0EFCDBB8;65;4;0;9;;;;1;B;0;9;;;;1;B;B;;;;;;;;;;;;;;;1;25;25;;;;C;2;21;21;;;;C;1;1;1;3;;;C;202;17;25;160;22;11.8;8.2;4.2;3.4;16;60.5;10.5;50.8;17.1;48.2;11.2;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Mionectes olivaceus;445;Tyrannidae;Passeriformes;AVIBASE-F083DCE5;31;6;0;4;;;;1;B;6;25;25;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;1;B;42;12;17;13;24;15.4;8.9;4.1;3.4;16.8;66.1;11.2;54.7;17;51.5;15.3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Mionectes striaticollis;446;Tyrannidae;Passeriformes;AVIBASE-9A4AE6AE;31;16;2;1;1;3;;;C;;;;;;;;;9;16;16;;;;C;2;11;11;;;;C;;;;;;;;;;;;;;;3;3;3;;;;C;120;45;54;21;86;14.2;8;4.2;3.4;17.5;66.8;11.1;56.2;16.5;53.7;15;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;0;0
Mitrospingus cassinii;447;Mitrospingidae;Passeriformes;AVIBASE-D59309B6;2;13;;;;;;;;13;2;2;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;3;1;4;21.6;12.8;5.4;6.9;25.4;83.5;10.3;71.9;12.6;73.2;40.4;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;0;0
Mniotilta varia;448;Parulidae;Passeriformes;AVIBASE-4D207AF6;3;2;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;2;1;1;3;;;C;;;;;;;;0;1;;;;1;B;20;12;8;0;4;13.7;9;2.9;3.3;17.3;68.8;17;49.7;25.5;46.6;10.9;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;0;0
Molothrus bonariensis;449;Icteridae;Passeriformes;AVIBASE-AA779804;18;14;9;1;1;;;;C;2;6;6;;;;C;C;2;6;6;;;;C;;;;;;;;0;1;;;;1;B;1;4;4;;;;C;;;;;;;;25;10;14;1;4;19.7;12.5;6.5;8.3;25.5;109.9;29.5;78.2;27.3;82.7;41.5;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Invertivore;Terrestrial;0;0
Molothrus oryzivorus;450;Icteridae;Passeriformes;AVIBASE-91375A56;4;1;1;1;1;;;;C;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;13;5;8;0;4;35.5;21.4;9.3;11.5;41.9;173.6;56.3;119.5;31.9;130.9;181.9;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Terrestrial;0;0
Momotus aequatorialis;451;Momotidae;Coraciiformes;AVIBASE-6CAC15FB;22;12;5;7;7;;;;C;;;;;;;;;4;11;11;;;;C;2;3;3;;;;C;1;1;1;;;1;B;;;;;;;;;;;;;;;26;7;11;8;4;45;33.2;11.2;14.1;28.4;154.8;26.8;126.9;17.4;281.5;158;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Momotus momota;452;Momotidae;Coraciiformes;AVIBASE-7CE7EB2F;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;1;3;;;C;;;;;;;;8;0;4;4;4;42.5;29.4;9.7;12.6;28.4;142.3;26.4;115.8;18.6;253.9;115;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Omnivore;Insessorial;0;0
Momotus subrufescens;453;Momotidae;Coraciiformes;AVIBASE-0DB8CE98;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;;;;C;;;;;;;;;;;;;;;6;2;2;2;4;41.1;28.3;9.3;11.4;28.2;124.3;22.3;100.1;18.2;215;97.1;Updated_literature;Dunning (2021);NO;NA;NA;Forest;1;1;Carnivore;Omnivore;Insessorial;0;0
Monasa flavirostris;454;Bucconidae;Galbuliformes;AVIBASE-0C64158A;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;1;3;;;C;;;;;;;;5;0;3;2;4;28.7;21.2;8;9.3;16.7;107.6;24.2;84.3;22.2;106.2;62.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Monasa morphoeus;455;Bucconidae;Galbuliformes;AVIBASE-567942CC;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;0;;2;1;;A;;;;;;;;6;0;1;5;4;37;25.9;9.1;11.2;19.2;125.5;27.6;98.4;21.9;114.3;87.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Monasa nigrifrons;456;Bucconidae;Galbuliformes;AVIBASE-BB158D41;7;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;7;;;;C;;;;;;;;4;2;2;0;4;37.5;28.1;9.5;12.1;21.2;127.8;21.4;106.3;16.8;118.8;80.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Mustelirallus albicollis;457;Rallidae;Gruiformes;AVIBASE-65A6922D;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;9;2;1;6;4;46.1;36.1;7.9;9.4;32.7;115.5;16.7;108.8;13.2;96.2;100;Dunning;NA;NO;NA;NA;Wetland;1;1;Carnivore;Aquatic predator;Terrestrial;0;0
Mustelirallus colombianus;458;Rallidae;Gruiformes;AVIBASE-E016F3AC;0;3;;;;;;;;3;0;;1;1;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;1;21.5;10.1;3.4;6.4;28;97;23;74;23.7;30;58.3;Inferred;NA;YES;Body Mass;Mustelirallus erythrops;Wetland;2;2;Carnivore;Aquatic predator;Terrestrial;1;1
Myadestes ralloides;459;Turdidae;Passeriformes;AVIBASE-8FE62CA5;66;10;5;8;8;;;;C;;;;;;;;;1;33;33;;;;C;0;8;;;;1;B;;;;;;;;;;;;;;;4;17;17;;;;C;56;12;24;20;17;14.8;6.8;4.6;3.7;20.5;84.1;19.6;64.5;23.3;78.2;29.1;Dunning;NA;NO;NA;NA;Forest;1;2;Omnivore;Invertivore;Insessorial;0;0
Myiarchus apicalis;460;Tyrannidae;Passeriformes;AVIBASE-AA902955;19;6;1;4;4;;;;C;;;;;;;;;0;3;;;;1;B;;;;;;;;5;12;12;;;;C;;;;;;;;;;;;;;;5;2;3;0;4;21.6;13.7;7.4;5.8;22.3;87.4;7.3;79.4;8.4;88.8;29.2;Dunning;NA;NO;NA;NA;Shrubland;2;1;Omnivore;Invertivore;Insessorial;0;0
Myiarchus cephalotes;461;Tyrannidae;Passeriformes;AVIBASE-C7D1E218;27;9;3;3;3;;;;C;;;;;;;;;3;4;4;;;;C;3;19;19;;;;C;;;;;;;;;;;;;;;0;1;;;;1;B;21;6;9;6;4;21.7;12.4;6.5;5.7;21.3;88.8;14.4;74.5;16.2;87.4;26.3;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Myiarchus crinitus;462;Tyrannidae;Passeriformes;AVIBASE-8D6D5F2B;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;18;4;6;8;4;22.7;15.5;8.5;6.9;21.8;98.8;21.6;79.4;21.4;88.1;32.1;Dunning;NA;NO;NA;NA;Woodland;1;3;Omnivore;Invertivore;Insessorial;0;0
Myiarchus ferox;463;Tyrannidae;Passeriformes;AVIBASE-825CACEF;16;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;16;16;;;;C;;;;;;;;24;9;14;1;4;21.7;14.4;7.7;5.8;21.8;85.8;12.2;73.4;14.2;86.9;27.5;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Invertivore;Insessorial;0;0
Myiarchus panamensis;464;Tyrannidae;Passeriformes;AVIBASE-2A2A4A6F;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;;;;1;B;;;;;;;;;;;;;;;7;3;3;1;6;21.6;14.6;7.7;6.4;23;90.4;15.5;74.7;17.2;88.6;31.7;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Invertivore;Insessorial;0;0
Myiarchus swainsoni;465;Tyrannidae;Passeriformes;AVIBASE-EF21F7B5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;;;;;;;;15;6;8;1;4;20.2;14.6;7;5.7;20.6;88.6;15;73.2;17;82.9;25.1;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Insessorial;1;1
Myiarchus tuberculifer;466;Tyrannidae;Passeriformes;AVIBASE-3D57A982;18;1;1;6;6;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;12;;;;1;B;;;;;;;;49;10;17;22;10;21.1;12.9;7.1;5.2;20.1;80.4;15.5;66.8;18.8;76.5;17.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiobius barbatus;467;Oxyruncidae;Passeriformes;AVIBASE-EC9D7A78;14;11;;;;;;;;5;14;14;;;;C;C;;;;;;;;;;;;;;;;;;;;;;6;0;;2;1;;A;;;;;;;;15;4;8;3;4;12.9;7;4.3;3.7;14.8;62.5;10.7;52.6;16.8;54.3;11;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Myioborus miniatus;468;Parulidae;Passeriformes;AVIBASE-CB8A9437;98;37;9;13;13;;;;C;;;;;;;;;13;40;40;;;;C;1;35;35;;;;C;;;;;;;;;;;;;;;14;10;10;;;;C;66;8;38;20;12;11.9;7;4.1;3.3;17.7;63.6;10.6;52;17;64.9;9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myioborus ornatus;469;Parulidae;Passeriformes;AVIBASE-0A4A6CF7;118;22;;;;;;;;;;;;;;;;0;1;;;;1;B;17;104;104;;;;C;;;;;;;;;;;;;;;5;13;13;;;;C;21;3;10;8;4;12.3;6.9;4.3;3.7;19.4;68.7;10.3;58.8;14.9;69.7;11.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiodynastes chrysocephalus;470;Tyrannidae;Passeriformes;AVIBASE-077E33E3;22;8;0;2;;;;1;B;;;;;;;;;7;3;3;;;;C;1;15;15;;;;C;;;;;;;;;;;;;;;0;2;;;;1;B;18;7;9;2;4;26.6;17.7;11.1;7.7;18.5;106;22.6;83.8;21.2;89.1;38.3;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Invertivore;Insessorial;0;0
Myiodynastes maculatus;471;Tyrannidae;Passeriformes;AVIBASE-D94C6177;28;0;;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;0;14;;;;1;B;0;13;;;;1;B;;;;;;;;30;8;16;6;10;26.3;18.3;10.6;8.4;19.6;106.9;22.3;84.1;21;85.5;43.2;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Insessorial;0;0
Myiopagis caniceps;472;Tyrannidae;Passeriformes;AVIBASE-C3AAABEF;1;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;5;4;0;5;11.5;6.9;3.5;3.1;16.3;58.5;11.1;49;18.5;50.6;10.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiopagis gaimardii;473;Tyrannidae;Passeriformes;AVIBASE-54EC5236;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5;;;;1;B;0;1;;;;1;B;;;;;;;;7;2;4;1;4;11.3;6.9;3.9;3.2;17.8;57.3;10.3;46.1;18.4;52.8;12;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiopagis viridicata;474;Tyrannidae;Passeriformes;AVIBASE-F219499B;14;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;14;14;;;;C;;;;;;;;;;;;;;;18;7;8;3;8;11.8;7.1;3.8;3.6;16.9;60;11.3;47.8;19;55.3;11.5;Dunning;NA;NO;NA;NA;Forest;2;3;Omnivore;Invertivore;Insessorial;0;0
Myiophobus fasciatus;475;Tyrannidae;Passeriformes;AVIBASE-83BB46D7;3;0;;;;;;;;0;2;;;;1;B;B;;;;;;;;;;;;;;;0;1;;;;1;B;;;;;;;;;;;;;;;39;12;13;14;8;13.6;7.4;5.1;3.6;16.5;59.1;10.9;48.4;18.4;54.2;9.9;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Insessorial;0;0
Myiophobus flavicans;476;Tyrannidae;Passeriformes;AVIBASE-5D79CB29;10;6;;;;;;;;;;;;;;;;0;2;;;;1;B;2;5;5;;;;C;;;;;;;;;;;;;;;4;3;3;;;;C;8;2;3;3;4;13.9;6.7;4.2;3.4;17.8;68;11.8;56.1;17.3;55.8;12.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiornis atricapillus;477;Tyrannidae;Passeriformes;AVIBASE-F238A131;10;1;;;;;;;;1;10;10;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;0;4;11.7;7.2;3.8;2.9;12.8;34.5;5.2;29.3;14.9;16.1;5.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiotheretes fumigatus;478;Tyrannidae;Passeriformes;AVIBASE-0E03869D;4;4;;;;;;;;;;;;;;;;;;;;;;;4;1;1;;;;C;;;;;;;;;;;;;;;0;3;;;;1;B;11;1;6;4;4;23.7;13.4;7.1;5.3;23.4;110.1;23.6;86.5;21.4;84.8;33.4;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Myiotheretes striaticollis;479;Tyrannidae;Passeriformes;AVIBASE-8200F58C;9;0;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;1;B;;;;;;;;;;;;;;;;;;;;;;15;3;7;5;4;27.4;16.1;8.2;6.9;25.3;140.1;36.2;103.7;25.8;98.8;61.2;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;0;0
Myiothlypis coronata;480;Parulidae;Passeriformes;AVIBASE-99F5D09F;43;15;3;1;1;3;;;C;;;;;;;;;1;14;14;;;;C;3;19;19;;;;C;;;;;;;;;;;;;;;8;9;9;;;;C;78;11;9;58;18;15.2;7.7;4.3;4.2;22.7;68.3;9.9;58.6;14.4;61.3;16.3;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiothlypis fulvicauda;481;Parulidae;Passeriformes;AVIBASE-0232E9DC;17;5;0;3;;;;1;B;5;6;6;;;;C;C;;;;;;;;;;;;;;;0;8;;;;1;B;;;;;;;;;;;;;;;19;4;4;11;4;14.3;8.6;4.5;3.9;22.5;63.3;9.8;54.5;15.3;49.7;14.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;0;0
Myiothlypis luteoviridis;482;Parulidae;Passeriformes;AVIBASE-9F080871;7;2;;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;;;C;;;;;;;;;;;;;;;0;6;;;;1;B;78;24;18;36;25;15.4;7.3;4.1;3.9;23;66.5;8.8;57.5;13.4;63.9;12.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiothlypis nigrocristata;483;Parulidae;Passeriformes;AVIBASE-3D4F2A70;35;4;;;;;;;;;;;;;;;;;;;;;;;0;10;;;;1;B;;;;;;;;;;;;;;;4;25;25;;;;C;13;5;6;2;4;14.4;8.1;4.8;3.9;22.5;61.5;5.9;55.6;9.6;58.2;13.6;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;0;0
Myiotriccus ornatus;484;Tyrannidae;Passeriformes;AVIBASE-8897A0C5;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;3;;;C;12;2;4;6;5;13.1;6.7;4.8;3.4;15;61.6;11.8;49.1;19.4;47.1;9.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myiozetetes cayanensis;485;Tyrannidae;Passeriformes;AVIBASE-B384278C;90;8;1;2;2;;;;C;1;36;36;;;;C;C;3;8;8;;;;C;;;;;;;;2;42;42;;;;C;0;1;;;;1;B;1;1;1;3;;;C;21;4;7;10;4;14.4;9.8;5.4;4.6;20.4;84.1;12.8;70;15.4;71.4;25.9;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;0;0
Myiozetetes granadensis;486;Tyrannidae;Passeriformes;AVIBASE-DCCFF7D4;9;3;;;;;;;;1;1;1;;;;C;C;;;;;;;;;;;;;;;;;;;;;;2;8;8;;;;C;;;;;;;;14;6;5;3;4;17.8;9.8;5.7;5.1;17.8;86.6;14.2;73.8;16.2;66.8;29.3;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Invertivore;Insessorial;0;0
Myiozetetes similis;487;Tyrannidae;Passeriformes;AVIBASE-468B520C;16;1;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;0;4;;;;1;B;1;10;10;;;;C;;;;;;;;34;11;12;11;4;17.4;9.7;5.5;4.9;19.6;87;14.5;73.8;16.4;69.1;28;Dunning;NA;NO;NA;NA;Shrubland;2;2;Carnivore;Invertivore;Insessorial;0;0
Myornis senilis;488;Rhinocryptidae;Passeriformes;AVIBASE-EFE9D5AA;6;4;;;;;;;;;;;;;;;;;;;;;;;3;5;5;;;;C;;;;;;;;;;;;;;;1;1;1;;;;C;5;3;2;0;4;16.6;8.7;3.5;4.4;21.7;56.9;7.2;50.1;12.5;62.7;21.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myrmeciza longipes;489;Thamnophilidae;Passeriformes;AVIBASE-40373FE1;23;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;23;23;;;;C;;;;;;;;;;;;;;;11;4;7;0;4;20.3;12;4.3;4.5;29.2;64.8;4;61.3;6.4;53.1;27.9;Dunning;NA;NO;NA;NA;Woodland;1;1;Carnivore;Invertivore;Terrestrial;0;0
Myrmelastes leucostigma;490;Thamnophilidae;Passeriformes;AVIBASE-9736A466;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;;;;C;;;;;;;;10;4;6;0;5;21.9;12.3;4.5;4.9;26.2;66.1;6.3;60.8;9.5;56.4;25.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;0;0
Myrmoborus leucophrys;491;Thamnophilidae;Passeriformes;AVIBASE-C9620F9F;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;0;;1;1;;A;;;;;;;;19;9;10;0;5;18;10.8;4.5;4.7;25.2;64.9;8.7;56.4;13.6;43.8;21.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Myrmoborus myotherinus;492;Thamnophilidae;Passeriformes;AVIBASE-F5CD9018;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;1;;;;C;;;;;;;;33;10;22;1;2;17.9;10.2;4.2;4.6;25.7;62;9.2;53.4;14.8;40.1;18.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myrmothera campanisona;493;Grallariidae;Passeriformes;AVIBASE-A54A1842;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;3;;;C;;;;;;;;110;32;63;15;4;20.8;12;5.4;5.8;40.1;77.5;5.8;75.4;7.1;35.2;47;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;0;0
Myrmothera dives;494;Grallariidae;Passeriformes;AVIBASE-FF02D7B1;0;5;;;;;;;;5;0;;2;1;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3;16;3;4;20.8;12.6;5.2;5.3;36.4;75.4;5.7;73.1;7.2;34.1;44;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;1;1
Myrmothera fulviventris;495;Grallariidae;Passeriformes;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;;;;;;;;39;9;28;2;4;22;13;5.4;6;36.1;77.3;9.8;71.4;12.3;34.2;41;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;1;1
Myrmotherula axillaris;496;Thamnophilidae;Passeriformes;AVIBASE-76C308FC;22;12;;;;;;;;2;21;21;;;;C;C;;;;;;;;;;;;;;;;;;;;;;10;1;1;3;;;C;;;;;;;;65;26;38;1;9;15;9.1;3.4;3.7;15.5;51.1;7.5;44.4;14.8;36.5;8.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Myrmotherula brachyura;497;Thamnophilidae;Passeriformes;AVIBASE-64B34CDD;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;2;1;;A;;;;;;;;9;3;6;0;4;13.5;8.5;3.1;3;16.2;43.6;4.2;39.7;9.5;19.5;6.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Myrmotherula menetriesii;498;Thamnophilidae;Passeriformes;AVIBASE-3DD03F2C;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;;;;;;;;12;4;8;0;4;15.6;9.8;3.7;3.5;16.1;52.3;7.6;45.7;14.4;29.8;8.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Myrmotherula pacifica;499;Thamnophilidae;Passeriformes;AVIBASE-9E1460BD;27;3;;;;;;;;3;27;27;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4;6;0;4;15.3;9.7;3.6;3.2;17.5;50.6;5.4;46.1;10.7;28;10.1;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;0;0
Myrmotherula schisticolor;500;Thamnophilidae;Passeriformes;AVIBASE-CF8A3394;3;14;5;3;3;;;;C;;;;;;;;;8;0;;2;1;;A;;;;;;;;;;;;;;;;;;;;;;1;0;;2;1;;A;12;6;6;0;5;15.5;8.2;3.3;3.4;15.6;54.9;7.3;48.7;13.4;36.9;9.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;2
Nannopterum brasilianum;501;Phalacrocoracidae;Suliformes;AVIBASE-56036504;2;0;;;;;;;;0;2;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4;5;1;2;62.6;44.6;11.9;14.9;48.7;275.4;91.8;191.7;32.4;187.2;1239.3;Dunning;NA;NO;NA;NA;Wetland;3;1;Carnivore;Aquatic predator;Generalist;0;0
Nephelomyias pulcher;502;Tyrannidae;Passeriformes;AVIBASE-BF1FED0E;3;4;;;;;;;;;;;;;;;;0;2;;;;1;B;;;;;;;;;;;;;;;;;;;;;;4;1;1;3;;;C;9;2;6;1;4;12.4;5.1;3.4;2.5;15.4;54.1;8.4;45.7;15.6;42.1;9.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Nesotriccus incomtus;503;Tyrannidae;Passeriformes;AVIBASE-F2D76F95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;9;9;16;11;11.2;6.3;4;3.2;18.7;55.7;8.7;47.5;15.3;52;10;Dunning;NA;NO;NA;NA;Shrubland;2;1;Omnivore;Invertivore;Insessorial;0;0
Notharchus hyperrhynchus;504;Bucconidae;Galbuliformes;AVIBASE-6CC108F6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;1;1;;A;;;;;;;;;;;;;;;10;3;5;2;7;50.2;40;16.4;17.3;19.9;114.7;30.1;83.8;26.3;89.3;95.9;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;1;1
Notharchus pectoralis;505;Bucconidae;Galbuliformes;AVIBASE-E2F43007;17;9;;;;;;;;9;17;17;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;0;3;1;4;35;25.6;11.9;13;16.5;97.5;28.4;69.1;29.1;83.8;69.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
