Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Anabacerthia striaticollis;23;Furnariidae;Passeriformes;AVIBASE-A499C7BE;15;26;11;9;9;;;;C;;;;;;;;;12;1;1;;;;C;0;4;;;;1;B;;;;;;;;;;;;;;;3;1;1;;;;C;27;6;13;8;4;18.6;10.2;3.8;5.4;20;87.3;15.8;71.7;18;76.1;24.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Anabazenops dorsalis;24;Furnariidae;Passeriformes;AVIBASE-B76C2D94;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;1;1;;A;;;;;;;;5;1;3;1;1;23.4;14.9;5;7.5;23.5;92.7;12.8;79.9;13.9;77;35.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Ancistrops strigilatus;25;Furnariidae;Passeriformes;AVIBASE-21CFD0C9;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;0;;1;1;;A;;;;;;;;13;6;6;1;4;23.1;14.2;5.2;7.1;23.1;92.8;17;76.7;18.1;72.5;35.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;1;1
Andigena hypoglauca;26;Ramphastidae;Piciformes;AVIBASE-B02554D8;5;2;;;;;;;;;;;;;;;;;;;;;;;2;5;5;;;;C;;;;;;;;;;;;;;;;;;;;;;11;3;4;4;4;91.2;80.7;25.9;29;41;171;18.1;152;10.7;170;312.8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Andigena nigrirostris;27;Ramphastidae;Piciformes;AVIBASE-64516AE0;22;3;;;;;;;;;;;;;;;;;;;;;;;3;22;22;;;;C;;;;;;;;;;;;;;;;;;;;;;12;6;6;0;4;88.5;80.7;27.7;30.9;40.1;167.3;19.4;142.4;12;185.3;350;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Androdon aequatorialis;28;Trochilidae;Caprimulgiformes;AVIBASE-E82816C6;12;10;;;;;;;;10;12;12;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;2;0;4;39.9;35.5;3.1;3.2;5.7;68;40.9;26.1;61.1;41.4;7.3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;0;0
Anhima cornuta;29;Anhimidae;Anseriformes;AVIBASE-71BA40DC;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;;;;1;B;;;;;;;;9;4;2;3;4;45;22;11.6;13.9;108.3;553.1;181.1;370.5;32.9;253.4;3150;Dunning;NA;NO;NA;NA;Wetland;3;1;Herbivore;Herbivore aquatic;Terrestrial;0;0
Anisognathus igniventris;30;Thraupidae;Passeriformes;AVIBASE-9FCCD579;69;4;;;;;;;;;;;;;;;;;;;;;;;0;30;;;;1;B;;;;;;;;;;;;;;;4;39;39;;;;C;67;15;23;29;31;14.8;8.1;5.5;6.7;25.1;87.9;14.8;73;16.8;75.3;34;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;0;0
Anisognathus lacrymosus;31;Thraupidae;Passeriformes;AVIBASE-11BC1FFE;30;14;;;;;;;;;;;;;;;;;;;;;;;14;30;30;;;;C;;;;;;;;;;;;;;;;;;;;;;13;5;6;2;4;15.1;8.1;5.4;6.3;25.1;89.5;14.6;74.1;16.4;75.5;31;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Anisognathus somptuosus;32;Thraupidae;Passeriformes;AVIBASE-1F7275CB;24;38;17;2;2;;;;C;;;;;;;;;16;6;6;;;;C;1;15;15;;;;C;;;;;;;;;;;;;;;4;1;1;3;;;C;16;5;8;3;4;20;10.8;5.9;7.8;24.5;91.9;19.1;71.9;21;72.9;44.5;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;0;0
