"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Phyllomyias griseiceps",0,1,NA,1,-1.14310306322876,-0.845168873372158,-0.582294352342827,-0.739525754019434,-0.622694391255946,-0.584656261982356,-0.412850390875997,-1.7552887586066,0.66486060584888,-0.135147622193612,-0.236505064156022,-0.0574461243888806,-0.164610539326891,-0.306534946612994
"Phyllomyias nigrocapillus",0,2,NA,1,-0.933679677640004,-0.873412094869017,-0.817136938031368,-0.61790535630772,-0.578815803636807,-0.492739816473942,-0.412850390875997,-1.64582527807308,0.728644631533034,0.155427953805098,-0.0491225520245272,-0.0713274579014917,0.000861617009154755,-0.267115963121964
"Phyllomyias plumbeiceps",2,0,1,NA,-0.872598646588609,-0.85081751767153,-0.676231386618243,-0.622197840932839,-0.431917923346648,-0.492739816473942,-0.282726998284173,-1.49714466636229,0.594553706755596,0.153438423525252,-0.18380777580838,-0.078666052488121,-0.0792870847141335,-0.172122212075979
"Phylloscartes poecilotis",1,2,NA,NA,-1.06350674851587,-0.692655477289116,-0.77016842089366,-0.656537717933794,-0.487243099040345,-0.498867579507836,-0.490924426431091,-1.58611500999211,0.699734583584218,-0.0188789538205053,-0.0678795003270839,-0.280857511792054,-0.0375521332813546,-0.342581629589979
"Piaya cayana",5,7,NA,NA,0.859556240888621,0.442722026884637,0.544950058962171,0.609745246476409,3.83956719314251,0.66540739693208,-0.861776095317788,3.55503635784958,0.47536304607546,1.12631850617011,-1.68905905956629,-2.18195005448454,-0.439346811746845,0.247462804930896
"Picumnus olivaceus",6,3,NA,NA,-0.850909130274166,-0.771736497480323,-0.605778610911681,-0.728079128352449,-0.979446386246331,-0.701083759626348,-0.575504631615776,-1.78394748483807,0.768106282907084,-0.326131052456552,-0.0924467501024079,0.202804150801,0.225759865237226,-0.226943021704459
"Pionus chalcopterus",6,22,NA,NA,1.40510465506487,0.53874897997396,2.00097409023113,1.2378788299522,-0.00648639990891616,-0.480484290406153,0.439457830600448,2.45713176642878,-1.13602193389769,-1.00554888175243,-1.09965534356288,1.65112569683662,0.6317393658106,-0.0784803970121166
"Pipraeidea melanonota",0,10,NA,1,-0.334420693409982,-0.641817678594769,-0.323967508085432,-0.331739714633098,-0.382316041690231,-0.357929029728268,0.140174027639253,-0.802060179784348,0.145158100593469,0.147940705490828,-0.138952627107489,0.283577681133281,-0.0133816008289833,0.0540657722577036
"Pipreola lubomirskii",1,0,1,NA,0.419934147349745,-0.387628685123033,-0.0891249223968905,-0.154317016794832,-0.273573454981932,-0.131201797474178,-0.204652962729079,0.064395110733241,0.396552802317747,0.0213027993474871,-0.0540306541572549,0.440139373478056,0.316672313474263,0.327860111250919
"Pipreola riefferii",0,8,NA,1,0.310295454328127,-0.415871906619893,-0.230030473810015,-0.20868848871301,-0.082796987072635,-0.0883074562369184,-0.464899747912726,0.0421254682077089,0.648608807581822,0.110582831379165,-0.0908821317538542,0.165855929115162,0.293116960786045,0.257451107983572
"Piranga flava",0,2,NA,1,0.107631063689875,-0.252061221938107,0.497981541824463,-0.122838796210624,-0.000763105871637307,-0.167968375677544,-0.0550110612484819,0.337437725736886,0.0838126922366791,-0.344825901316888,-0.510145886435786,0.394399496212228,-0.126147861557786,0.172687908700849
"Pitangus sulphuratus",0,10,NA,1,0.494343717960523,0.301505919400339,0.920698196063837,0.123263655629552,0.132780421664871,0.126164249949382,-0.406344221246405,1.31946181267079,0.164053096412283,-0.812903954046101,-0.380693897166922,0.363250308545337,-0.0285168738381921,0.142803000592248
"Platyrinchus flavigularis",5,0,1,NA,-0.894929324367323,-0.602277168499166,0.4275287661179,-0.616474528099347,-0.86307274082166,-0.694955996592454,0.0555938224545681,-1.22529052029639,0.0198197609768659,-0.858348669510748,-0.610463046425182,0.647909467816262,-0.359254404765194,-0.147770638418371
"Platyrinchus mystaceus",1,2,NA,NA,-0.917940227927552,-0.590979879900422,0.286623214704776,-0.696600907768241,-0.912674622478077,-0.486612053440048,-0.621047819022914,-1.17410076422151,0.681153422625192,-0.972262179083908,-0.423797159131899,0.476213633528653,-0.313013205265544,-0.252876486109049
"Poecilotriccus ruficeps",3,1,NA,NA,-0.991503123441694,-0.607925812798538,-0.582294352342827,-0.812497992646463,-0.823009682560707,-0.431462186134999,-0.9268377916137,-1.57110287416357,1.07911632955884,-0.491026980427621,0.0320497926943042,-0.105499230197657,0.0181746774926631,-0.297816392341234
"Premnoplex brunnescens",2,11,NA,NA,-0.525823607874485,-0.387628685123033,-0.652747128049389,-0.619336184516093,-0.319359807280163,-0.223118242982593,-0.673097176059644,-0.897045903778693,0.835380936790616,-0.123362186556629,0.116344197814572,-0.345136225559269,0.118388889039656,-0.0426481264105979
"Premnornis guttuliger",3,10,NA,NA,-0.544593921501957,-0.455412416715496,-0.699715645187098,-0.523470694555095,-0.141937692124517,-0.266012584219853,-0.634060158282097,-0.855748593991095,0.792198037504089,0.0660061634106895,-0.0038141514071512,-0.416849673392574,0.124055801654234,-0.11180883843189
"Psarocolius angustifrons",0,1,NA,1,1.59914964562356,1.64588326265085,1.06160374747696,1.5254752998352,1.93371027872863,1.33946133066045,0.0295691439362035,4.53381398257642,-0.643576983745715,0.0153983783840733,0.241539066767404,-0.597319721083247,-0.0524735655210659,-0.00913046030393118
"Psarocolius decumanus",2,0,1,NA,1.3916754032426,1.57245088675902,1.17902504032123,1.36379171228904,1.76391922228936,1.3946111979655,0.0295691439362035,4.3291907451289,-0.582089538456921,-0.174104188075537,0.254505022444905,-0.50669617112863,-0.297164752137502,-0.00236809323342182
"Pseudocolaptes boissonneautii",1,0,1,NA,0.222653994089581,0.228073543508505,-0.441388800929702,0.0331214785020454,0.33118794829054,0.13841977601717,-0.360801033839267,0.576518913756438,0.312923468545015,0.130711901524137,0.286329644707446,-0.50263685839214,0.331446645285159,0.0281530122632272
"Pseudotriccus ruficeps",0,4,NA,1,-0.802598026470325,-0.698304121588488,-0.558810093773973,-0.679430969267764,-0.664665214195991,-0.0637964041013413,-0.790208229392285,-1.19993707227568,1.11539654110578,-0.19399616410372,0.199742495905149,-0.0114453326333682,-0.225285596944023,-0.183336258354791
