"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Heliornis fulica",1,0,1,NA,1.05433743380537,0.476613892680868,-0.417904542360848,0.546788805307992,0.0755474812920815,-0.131201797474178,0.771272481709598,0.658300219604544,-0.832198246138976,0.517796497766395,0.365108918487318,0.178149313385454,0.876403260977676,0.147835072630453
"Heliothryx barroti",2,3,NA,NA,-1.34657500740192,-0.116493758753182,-0.934558230875639,-0.564964712597915,-0.397578159122975,-1.1790492762701,2.84023442391959,-2.24201940205328,-2.75438139451663,0.275728140314998,-0.0969840589006284,-0.525493115967389,-0.157000985858549,0.0729592515422747
"Henicorhina leucosticta",3,9,NA,NA,-0.630019889035729,-0.376331396524289,-0.629262869480535,-0.702324220601733,-0.89550474036624,-0.0760519301691299,-0.939850130872882,-1.28148482626962,1.22628678787556,-0.167279672384991,0.379661352308851,-0.20291281627662,0.0300650570232387,-0.180790715886139
"Herpetotheres cachinnans",1,2,NA,NA,2.22735534605096,0.521803047075844,1.50780466028519,2.41974293006839,2.69300062100764,2.15445381416839,-0.354294864209676,5.12669423866733,0.324671070364078,1.60440044169603,-0.651102579909254,-0.265023950578454,-0.432815999746432,0.120896603360491
"Heterospingus xanthopygius",0,3,NA,1,0.129358388289988,-0.172980201746901,0.0517806290162344,-0.234443396463726,-0.275481219661025,-0.20473495388091,-0.2632084893954,-0.254268446115989,0.366377312734606,-0.114791008045252,-0.027949329142343,0.214520057916649,0.112670452632531,0.112474645991787
"Hylopezus perspicillatus",1,0,1,NA,0.207005111572583,-0.257709866237479,-0.159577698103453,-0.340324683883336,-0.872611564217125,0.677662922999868,-0.588516970874959,-0.191426089638346,1.06166746020717,0.176591926484797,0.958001556234212,0.102444454464777,-0.258886074253169,0.216902719505086
"Hylophylax naevioides",8,13,NA,NA,-0.459317382585872,-0.415871906619893,-0.323967508085432,-0.587857963931884,-0.769592271546104,-0.100562982304707,-0.699121854578009,-1.0323548309285,0.965220365925543,-0.162498932510853,0.255110696818409,-0.00187604563573321,-0.0871308829354954,-0.0782350726322899
"Ictinia plumbea",0,1,NA,1,1.53652050940743,-0.00352087276574362,1.08508800604582,2.60861225357365,1.08666276121136,0.57961871445756,1.1356179809667,2.95362026851988,-1.34006587392427,1.42411155955409,-0.318003503580999,0.970196180072888,-0.219800878922343,-0.648812396947876
"Laterallus albigularis",3,1,NA,NA,0.279008736646754,-0.156034268848785,-0.77016842089366,-0.420451063552231,-0.983261915604517,0.18131411725443,-0.503936765690273,-0.680368485371421,0.85467952766187,0.21232875052883,0.925865141481617,0.0890958172993277,0.414245259610284,0.142371652276234
"Legatus leucophaius",0,4,NA,1,-0.292439545790775,-0.619223101397281,0.0282963704473801,-0.354632965967068,-0.431917923346648,-0.529506394677308,0.0751123313433417,-0.922435738289546,0.0784958203212412,-0.0409251046840677,-0.268288819503552,0.389533580410129,-0.143444966434028,0.0372550257494879
"Lepidocolaptes souleyetii",5,NA,NA,NA,-0.181840265153069,0.493559825578984,-0.488357318067411,-0.157178673211578,0.127057127627592,-0.259884821185959,-0.21115913235867,-0.177302209766557,0.105023909068874,-0.175883020787546,-0.0903847871542167,-0.612209648614734,0.544402309287918,-0.155834066163721
