Species;Period;Abundance;Region
Glyphorynchus spirurus;HISTORICAL;4;BARBACOAS
Gymnopithys bicolor;HISTORICAL;11;BARBACOAS
Hafferia zeledoni;HISTORICAL;9;BARBACOAS
Heliornis fulica;HISTORICAL;1;BARBACOAS
Heliothryx barroti;HISTORICAL;2;BARBACOAS
Henicorhina leucosticta;HISTORICAL;3;BARBACOAS
Herpetotheres cachinnans;HISTORICAL;1;BARBACOAS
Hylopezus perspicillatus;HISTORICAL;1;BARBACOAS
Hylophylax naevioides;HISTORICAL;8;BARBACOAS
Laterallus albigularis;HISTORICAL;3;BARBACOAS
Lepidocolaptes souleyetii;HISTORICAL;5;BARBACOAS
Lepidothrix coronata;HISTORICAL;12;BARBACOAS
Leptotila pallida;HISTORICAL;1;BARBACOAS
Leptotrygon veraguensis;HISTORICAL;3;BARBACOAS
Lipaugus unirufus;HISTORICAL;2;BARBACOAS
Lophotriccus pileatus;HISTORICAL;1;BARBACOAS
Malacoptila panamensis;HISTORICAL;6;BARBACOAS
Manacus manacus;HISTORICAL;26;BARBACOAS
Melanerpes pucherani;HISTORICAL;6;BARBACOAS
Microbates cinereiventris;HISTORICAL;5;BARBACOAS
Microcerculus marginatus;HISTORICAL;7;BARBACOAS
Mionectes olivaceus;HISTORICAL;6;BARBACOAS
Mitrospingus cassinii;HISTORICAL;13;BARBACOAS
Molothrus bonariensis;HISTORICAL;2;BARBACOAS
Mustelirallus colombianus;HISTORICAL;3;BARBACOAS
Myiobius barbatus;HISTORICAL;5;BARBACOAS
Myiornis atricapillus;HISTORICAL;1;BARBACOAS
Myiothlypis fulvicauda;HISTORICAL;5;BARBACOAS
Myiozetetes cayanensis;HISTORICAL;1;BARBACOAS
Myiozetetes granadensis;HISTORICAL;1;BARBACOAS
Myrmothera dives;HISTORICAL;5;BARBACOAS
Myrmotherula axillaris;HISTORICAL;2;BARBACOAS
Myrmotherula pacifica;HISTORICAL;3;BARBACOAS
Notharchus pectoralis;HISTORICAL;9;BARBACOAS
Notharchus tectus;HISTORICAL;4;BARBACOAS
Nyctidromus albicollis;HISTORICAL;1;BARBACOAS
Nyctiphrynus rosenbergi;HISTORICAL;2;BARBACOAS
Nystalus radiatus;HISTORICAL;2;BARBACOAS
Pachyramphus cinnamomeus;HISTORICAL;11;BARBACOAS
Phaenostictus mcleannani;HISTORICAL;2;BARBACOAS
Phaethornis striigularis;HISTORICAL;7;BARBACOAS
Phaethornis yaruqui;HISTORICAL;4;BARBACOAS
Philodice mitchellii;HISTORICAL;3;BARBACOAS
Piaya cayana;HISTORICAL;2;BARBACOAS
Picumnus olivaceus;HISTORICAL;1;BARBACOAS
Pionus menstruus;HISTORICAL;4;BARBACOAS
Pittasoma rufopileatum;HISTORICAL;8;BARBACOAS
Poliocrania exsul;HISTORICAL;15;BARBACOAS
Polyerata rosenbergi;HISTORICAL;12;BARBACOAS
Psarocolius wagleri;HISTORICAL;5;BARBACOAS
Pyrilia pulchra;HISTORICAL;5;BARBACOAS
Querula purpurata;HISTORICAL;8;BARBACOAS
Ramphastos ambiguus;HISTORICAL;4;BARBACOAS
Ramphocelus flammigerus;HISTORICAL;6;BARBACOAS
Rhynchocyclus pacificus;HISTORICAL;2;BARBACOAS
Rhynchortyx cinctus;HISTORICAL;2;BARBACOAS
Saltator atripennis;HISTORICAL;1;BARBACOAS
Saltator grossus;HISTORICAL;10;BARBACOAS
Saltator maximus;HISTORICAL;5;BARBACOAS
Sapayoa aenigma;HISTORICAL;5;BARBACOAS
Schiffornis veraepacis;HISTORICAL;1;BARBACOAS
Setophaga petechia;HISTORICAL;2;BARBACOAS
Setophaga ruticilla;HISTORICAL;1;BARBACOAS
Sipia berlepschi;HISTORICAL;16;BARBACOAS
Sporophila corvina;HISTORICAL;6;BARBACOAS
Sporophila nigricollis;HISTORICAL;4;BARBACOAS
Stelgidopteryx ruficollis;HISTORICAL;3;BARBACOAS
Stilpnia larvata;HISTORICAL;5;BARBACOAS
Synallaxis brachyura;HISTORICAL;6;BARBACOAS
Tachyphonus delatrii;HISTORICAL;10;BARBACOAS
Taraba major;HISTORICAL;11;BARBACOAS
Thamnistes anabatinus;HISTORICAL;1;BARBACOAS
Thamnophilus atrinucha;HISTORICAL;12;BARBACOAS
Thraupis episcopus;HISTORICAL;2;BARBACOAS
Threnetes ruckeri;HISTORICAL;4;BARBACOAS
Tityra semifasciata;HISTORICAL;1;BARBACOAS
Todirostrum cinereum;HISTORICAL;4;BARBACOAS
Tringa flavipes;HISTORICAL;1;BARBACOAS
Trogon caligatus;HISTORICAL;1;BARBACOAS
Trogon chionurus;HISTORICAL;7;BARBACOAS
Trogon massena;HISTORICAL;2;BARBACOAS
Trogon rufus;HISTORICAL;10;BARBACOAS
Tyrannulus elatus;HISTORICAL;5;BARBACOAS
Volatinia jacarina;HISTORICAL;1;BARBACOAS
Xenops minutus;HISTORICAL;1;BARBACOAS
Xiphorhynchus erythropygius;HISTORICAL;4;BARBACOAS
Xiphorhynchus lachrymosus;HISTORICAL;4;BARBACOAS
Accipiter superciliosus;MODERN;1;BARBACOAS
Actitis macularius;MODERN;6;BARBACOAS
Amazilia tzacatl;MODERN;16;BARBACOAS
Amazona farinosa;MODERN;1;BARBACOAS
Androdon aequatorialis;MODERN;12;BARBACOAS
Arremon aurantiirostris;MODERN;5;BARBACOAS
Attila spadiceus;MODERN;13;BARBACOAS
Automolus subulatus;MODERN;3;BARBACOAS
Baryphthengus martii;MODERN;12;BARBACOAS
Butorides striata;MODERN;1;BARBACOAS
Cacicus uropygialis;MODERN;16;BARBACOAS
Campephilus gayaquilensis;MODERN;2;BARBACOAS
Camptostoma obsoletum;MODERN;5;BARBACOAS
Cantorchilus leucopogon;MODERN;23;BARBACOAS
