"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Conirostrum sitticolor",4,4,NA,NA,-0.763513470024765,-0.551439369804819,-0.793652679462514,-0.520609038138348,-0.424286864630277,-0.370184555796056,-0.237183810877035,-1.14683406357152,0.379848645187782,0.0351460461335614,0.0358726373727138,-0.186713276419955,0.083880021078085,-0.176804322789058
"Conopias cinchoneti",1,0,1,NA,-0.202702592110012,-0.223818000441248,0.122233404722797,-0.284522383756785,-0.208709455892771,-0.388567844897739,-0.32176401606172,0.0549235433559273,0.0779177467132174,-0.354230760668251,-0.423187353518583,0.273264477739883,0.106294064556274,-0.000330817783280771
"Contopus fumigatus",9,0,1,NA,-0.375066822482947,-0.212520711842504,0.192686180429359,-0.152886188586459,0.0412077170684081,-0.504995342541731,0.23126040245353,0.100545979269969,-0.492511511823999,-0.0625318213522905,-0.6207445118313,0.108110529496763,-0.114697689981019,-0.105224294921436
"Cranioleuca curtata",3,1,NA,NA,-0.472158478033649,-0.523196148307959,-0.723199903755952,-0.564964712597915,-0.115228986617216,-0.370184555796056,-0.451887408653544,-0.759062437143551,0.555121979752982,0.0722423243268241,-0.242169434878609,-0.379097464441429,0.224300230192638,0.0772161978845089
"Crotophaga ani",1,0,1,NA,0.917286124703694,0.374938295292174,0.873729678926129,0.58255951051732,1.96041898423594,0.738940553338811,0.0295691439362035,3.79345837567062,-0.241701180933661,0.865463447563743,-0.778493901812997,-0.990409602093422,-0.496709190177852,0.330398769216288
"Cyanocorax yncas",3,6,NA,NA,0.661719127122033,0.318451852298455,0.732824127513004,0.26062316363337,1.17251217177054,0.916645681321746,-1.0764796930943,3.10061050601965,0.84486115083582,0.000476752921846513,-0.276896041530411,-0.614005334917157,-0.380590692445451,0.10779920457188
"Cyclarhis nigrirostris",1,0,1,NA,-0.0185726608638971,-0.302899020632454,-0.206546215241161,-0.380387873717783,-0.290743337093769,-0.0699241671352355,-0.7056280242076,0.0787613353007575,0.697270901885494,-0.266544539011017,-0.0105030714228453,0.17156333517834,0.238944604918324,0.156267016197451
"Dendrocolaptes picumnus",1,0,1,NA,0.643209034259321,0.934154080929993,0.497981541824463,0.376520248511592,0.836745588250177,0.291613851864528,-0.43236889976477,2.67953594762414,-0.294900210670811,-0.305691451696798,-0.123023057033751,-0.56998632404512,0.368655684749851,-0.0248256816782656
"Diglossa albilatera",19,14,NA,NA,-0.910191788105828,-0.613574457097909,-0.723199903755952,-0.666553515392406,-0.655126390800526,-0.241501532084276,-0.497430596060682,-1.35754937875384,0.704858386763692,-0.255212425798127,0.184820822514253,-0.045884301618336,-0.103872164535842,-0.198272690057164
"Diglossa caerulescens",3,13,NA,NA,-0.619453755119989,-0.387628685123033,-0.817136938031368,-0.503439099637871,-0.450995570137578,-0.235373769050382,-0.451887408653544,-0.909300181912111,0.545320848312519,-0.104823907885714,0.228171095360452,-0.222817176984646,0.217399114550734,-0.150942904334356
"Diglossa cyanea",17,17,NA,NA,-0.494057584101128,-0.336790886428686,-0.676231386618243,-0.42474354817735,-0.283112278377397,-0.0760519301691299,-0.37381337309845,-0.512560542494504,0.504863040928361,-0.0109693753802716,0.242878434639247,-0.262030514311869,0.0847047360343058,-0.0815846221051045
"Diglossa humeralis",4,11,NA,NA,-0.690932932925633,-0.568385302702934,-0.911073972306785,-0.513454897096483,-0.35560733618293,-0.0821796932030242,-0.4844182568015,-0.93079728411438,0.757377377273178,0.11764336714349,0.26917450109649,-0.329849661436507,0.0307593783979447,-0.166277747471444
"Doryfera ludovicae",0,13,NA,1,-1.28084084785243,0.770343396248208,-0.793652679462514,-0.656537717933794,-0.823009682560707,-1.09938835682948,2.41733339799617,-1.98903425988512,-2.7167604016176,-0.5473385290347,0.661166579331267,-0.459784050974739,0.071705521859862,0.148511608475776
"Dryobates dignus",1,0,1,NA,0.105624512018965,-0.167331557447529,0.31010747327363,-0.0956530602515346,-0.31745204260107,-0.210862716914804,-0.0159740434709347,0.48483411275627,-0.144595729191386,-0.214094363493281,-0.152577283781805,0.651971776516845,0.0874579749656113,0.115952136691233
"Dryobates fumigatus",4,3,NA,NA,0.0769583964852678,-0.11084511445381,0.169201921860505,-0.117115483377131,-0.306005454526513,-0.351801266694373,-0.282726998284173,0.366894553203939,-0.0208027698814556,-0.318433197489555,-0.257831486864896,0.513916814045997,0.341151434119608,0.013280515210314
"Dubusia taeniata",3,3,NA,NA,0.0934719776943272,-0.099547825855066,-0.112609180965745,-0.182933580962294,0.264416184522286,0.273230562762845,-0.699121854578009,0.929938818338872,0.687574838672176,-0.0188077498142009,-0.00493827505539915,-0.320748327624414,0.017315346318619,0.108076654751625
"Elaenia chiriquensis",1,0,1,NA,-0.56873227710802,-0.630520389996025,-0.441388800929702,-0.441913486677827,-0.302189925168327,-0.449845475236682,-0.230677641247444,-0.811025651668223,0.302760769843467,0.053216270280102,-0.317510104521766,0.0520041486309084,0.0392652802093176,-0.0878046432312674
"Elaenia flavogaster",0,1,NA,1,-0.208770626821609,-0.636169034295397,-0.276998990947723,-0.370372076259172,-0.138122162766331,-0.143457323541967,-0.516949104949456,-0.168799704872648,0.672492818485242,0.118235825678563,-0.259611606394678,0.103077566571644,0.0138970000113734,0.084350136292956
"Elaenia frantzii",3,6,NA,NA,-0.386542479997058,-0.641817678594769,-0.417904542360848,-0.410435266093619,-0.237325926079165,-0.437589949168893,-0.328270185691311,-0.618996056251188,0.393544562198718,0.106817157594123,-0.37674174313878,0.0839329869316504,0.156325275302894,-0.00248742261204771
"Ensifera ensifera",1,0,1,NA,-0.809313326330733,4.14823268727261,-0.864105455169076,-0.386111186551276,-0.330806395354721,-1.16066598716842,2.23516064836761,0.0768996410720522,-4.41900515984845,-2.73278056888779,1.71365472827059,-2.3477451863145,1.69174875884339,-0.0575621345233928
"Eriocnemis vestita",4,11,NA,NA,-1.49817494718899,-0.093899181555694,-0.981526748013347,-0.64079860764169,-0.681835096307828,-1.08100506772779,2.41733339799617,-2.44996115822204,-2.25477653619686,0.253940417213561,0.307864981453001,-0.351784543643641,-0.302683848500512,0.0334744120501759
"Eubucco bourcierii",0,2,NA,1,0.0934719776943272,-0.189926134645016,-0.0891249223968905,-0.44763679951132,-0.485335334361252,-0.174096138711439,-0.621047819022914,0.0150766374002976,0.537384918976655,-0.506901392741483,0.027299675454477,0.399565644441735,0.3579039783229,0.310278850808503
"Euchrepomis callinota",2,0,1,NA,-1.16438521029096,-0.461061061014868,-0.77016842089366,-0.72378664372733,-0.697097213740571,-0.584656261982356,-0.796714399021876,-1.68839278879181,0.663407367619151,-0.624327796000511,-0.10232291710677,-0.205991817966527,0.141709604149876,-0.473548450307753
"Eutoxeres aquila",1,2,NA,NA,-0.850909130274166,0.199830322011645,-0.605778610911681,-0.469099222636916,-0.454811099495764,-1.03811072649053,2.36528404095944,-1.48609443988648,-2.40222709318125,0.174320049742654,0.157651171950468,-0.190913433836886,0.000370217422465458,0.3444531170715
"Falco sparverius",3,0,1,NA,0.94754916671709,-0.387628685123033,0.521465800393317,1.13199754253259,0.928318292846639,0.610257529627031,1.25923520392894,2.90983686329574,-0.933009514823427,1.97451281084291,-0.00543619388338712,0.51873769381107,-0.375782439650102,-0.0454369047030958
"Formicivora grisea",1,0,1,NA,-0.865299398887922,-0.478006993912984,-0.582294352342827,-0.720924987310584,-0.554014862808599,-0.198607190847016,-1.10250437161266,-1.08947486952363,1.10974491205176,-0.624683966837609,0.0154763907687437,-0.179742555700096,-0.0156565275456156,-0.263230919210075
