"Species","HON_H","HON_M","HON_EXT","HON_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Mimus gilvus",1,1,NA,NA,0.350576641478159,-0.0600073157594627,-0.253514732378869,0.0359831349187917,0.722279707504599,0.567363188389771,-0.10055424865562,0.63585232718152,0.237918234675462,0.0477707629452561,-0.835406284232182,-0.00313249920756304,-0.00830089944635955,0.299787328520051
"Mionectes oleagineus",1,25,NA,NA,-0.809313326330733,-0.687006832989744,-0.464873059498556,-0.612182043474227,-0.565461450883156,-0.474356527372259,-0.471405917542317,-1.45280374576483,0.490848846285179,-0.151197759772617,0.0402551877379505,0.0263239931792874,-0.132338063399194,-0.166228971724397
"Mniotilta varia",2,0,1,NA,-0.829824982494967,-0.579682591301678,-0.77016842089366,-0.493423302179259,-0.595985685748644,-0.394695607931633,0.0751123313433417,-1.49820534383877,-0.138929960505145,-0.31584542471351,-0.259622220974445,0.12865001991348,-0.0575748727870205,-0.152067574320116
"Molothrus bonariensis",0,1,NA,1,0.180181006439998,-0.240763933339364,0.0752648875850884,0.0946470914620893,0.0927173634039183,0.107780960847699,0.192223384675983,0.237677026792656,-0.145057862732184,0.233446474666564,-0.114418831739504,0.288590759745338,-0.0523707381171665,0.0972767751008056
"Momotus aequatorialis",1,1,NA,1,1.19016506251892,1.18834307440173,1.17902504032123,0.737088957021616,3.88535354544074,0.285486088830633,-0.451887408653544,3.74482399143227,0.764788487241934,2.14610097073771,-1.65329746480177,-1.88308160466522,-0.12409816803096,0.211790627116149
"Momotus subrufescens",4,1,NA,NA,0.822363550559473,0.968045946726224,0.732824127513004,0.300686353467817,2.61669003384392,0.273230562762845,-0.399838051616814,2.5366950715894,0.584597551165493,1.29966202408936,-1.11488942248486,-1.45393203476405,-0.0142155849346347,0.302038733432726
"Myiarchus apicalis",5,12,NA,NA,-0.0853840575272939,-0.133439691651297,0.286623214704776,-0.227289255421861,0.209091008828589,-0.0883074562369184,-1.03744267531675,0.104421703765297,1.12613437408896,0.199509717236299,0.202078072848675,-0.330471777792482,-0.0804171168012648,-0.0915195678301017
"Myiarchus crinitus",0,1,NA,1,-0.0138509813689724,-0.0713046043582065,0.544950058962171,-0.0641748396673261,0.195736656074939,-0.11894627140639,-0.191640623469897,0.326985514031177,0.234071198923552,0.484132653998465,0.326746592677124,-0.159321726033274,-0.233042242853035,0.0167786187999825
"Myiarchus panamensis",0,5,NA,1,-0.0233240366514375,-0.133439691651297,0.357075990411338,-0.184364409170667,0.205275479470403,-0.0454131149996584,-0.464899747912726,0.187580944120455,0.544290226892498,0.327932411649793,0.184743211449703,-0.188232135521307,-0.170140512995974,0.0583406602487447
"Myiodynastes maculatus",0,14,NA,1,0.210510761760991,0.132046590419182,1.03811948890811,0.051722245210896,0.146134774418521,-0.253757058152064,-0.217665301988261,0.72815235102017,0.223444025924031,0.722961146386442,0.833687516034812,-0.213107082463525,-0.18873464870186,0.00336098188736781
"Myiopagis gaimardii",0,5,NA,1,-0.757191539743656,-0.715250054486604,-0.535325835205119,-0.657968546142167,-0.47770427564488,-0.364056792762162,-0.386825712357632,-1.4220548634045,0.44054044925204,-0.163168309358887,-0.109434065729759,0.0521358634868037,-0.152913356514452,-0.0479560060302896
"Myiopagis viridicata",3,14,NA,NA,-0.789343892474536,-0.687006832989744,-0.558810093773973,-0.619336184516093,-0.430010158667556,-0.41920666006721,-0.347788694580085,-1.41771570911644,0.384772159023882,-0.130209542039614,-0.158597468731354,0.0100051147916917,-0.138822365221673,-0.102116778102102
"Myiophobus fasciatus",0,1,NA,1,-0.902522014006045,-0.58533123560105,-0.253514732378869,-0.632213638391451,-0.450995570137578,-0.443717712202787,-0.386825712357632,-1.31051673245043,0.401732801493488,-0.0362514912210948,0.136084477663788,-0.134445983124255,-0.315673661491811,-0.144419250638772
"Myiothlypis fulvicauda",0,8,NA,1,-0.593667420456404,-0.545790725505446,-0.394420283791994,-0.57211885363978,-0.536844980696762,-0.0760519301691299,-0.588516970874959,-1.09129790952599,0.627185960554854,-0.364835388001096,0.0592552226159555,0.0742255728574293,-0.155804788001309,-0.0119357158206503
"Myiozetetes cayanensis",2,42,NA,NA,-0.17598390822931,-0.540142081206075,-0.183061956672307,-0.274506586298173,-0.122860045333587,-0.20473495388091,-0.582010801245367,-0.528103047943968,0.681335115078961,0.0878622240760763,-0.0624644220169518,0.132364092298452,0.0183461809174363,-0.0564232937702361
"Myiozetetes similis",0,4,NA,1,-0.117086594073421,-0.370682752224918,-0.159577698103453,-0.233012568255353,-0.166738632952726,-0.253757058152064,-0.516949104949456,-0.438971151023959,0.55804794626113,0.0499506485396968,0.0219511152962118,0.0686621882790969,0.122257062813455,-0.0721521710228382
"Myrmeciza longipes",4,23,NA,NA,-0.11978951738596,-0.206872067543132,-0.441388800929702,-0.550656430514184,-0.471980981607601,0.334508193101788,-1.16756606790857,-0.566925519671713,1.21072645097962,-0.76252058226599,0.0605181993769486,-0.00747462429652471,0.160582613613172,0.154687967787677
"Notharchus hyperrhynchus",2,0,1,NA,0.812969030410318,1.48207257796907,2.40020648590165,0.163326845463999,0.218629832224054,-0.235373769050382,0.127161688380071,2.25633559025793,-0.36548354908177,1.03013904332929,2.15106160802704,-0.957375727480276,-0.121951226365491,0.323960566888978
"Notharchus tectus",0,1,NA,1,-0.150177997590186,0.0529655702279754,0.568434317531025,-0.450498455928066,-0.460534393533043,-0.664317181422982,0.133667858009662,-0.335389542499405,-0.229349725449098,0.431120530620842,0.93556789603796,-0.232824663545165,0.00711751504205247,0.150364146465637
"Nyctibius griseus",0,1,NA,1,1.25430372779012,0.261965409304736,-0.253514732378869,2.1908104167287,1.98331216038505,-0.817511257270339,1.26574137355853,2.24402828050793,-1.40638893475926,1.67251523531686,-1.81779865363515,0.362097949410088,1.05910525146848,-1.09325096893142
"Nyctidromus albicollis",0,1,NA,1,0.430463464273838,-0.43846648381738,-0.276998990947723,0.681286656895065,1.11337146671866,-0.100562982304707,0.745247803191233,0.736755066074489,-0.609110627043596,0.923885661701915,-1.27506941586053,0.385499759681784,0.10706389626612,-0.150529092212359
"Nystalus radiatus",1,0,1,NA,0.471171830547479,0.36364100669343,1.03811948890811,-0.16719447067019,0.00686795284473468,-0.41920666006721,-0.10055424865562,0.713727671505529,0.0630779148852807,0.699959868266089,1.02807835128124,-0.319144337799553,0.126806327375571,0.271434464992594
"Ortalis columbiana",0,5,NA,1,2.12930984288524,0.380586939591546,0.380560248980192,1.75011532854978,3.66405284266596,2.38118104642248,-0.809726738281059,4.63217940888201,1.3834229717358,0.88509863097168,-2.6908213432116,0.00534616041519037,-0.189041994503399,0.274922277917678
"Pachyramphus cinnamomeus",0,2,NA,1,-0.360032171861706,-0.404574618021149,0.333591731842484,-0.376095389092664,-0.351791806824744,-0.24762929511817,-0.237183810877035,-0.486644476560235,0.281520166123504,0.239913352510245,0.528883438134629,0.0372733498719909,-0.313728964230203,0.0307568361845735
"Pachysylvia semibrunnea",0,2,NA,1,-0.795941893016336,-0.449763772416124,-0.511841576636265,-0.587857963931884,-0.52921392198039,-0.357929029728268,-0.76418355087392,-1.29927201542504,0.734757870548987,-0.373955102441318,0.0383123381958723,-0.165203890129107,-0.0455368979843864,-0.231549474779827
"Parkesia noveboracensis",1,1,NA,NA,-0.525823607874485,-0.291601732033711,-0.629262869480535,-0.420451063552231,-0.533029451338576,-0.0454131149996584,0.237766572083121,-0.997883900767095,-0.321768641219733,-0.446186560478116,-0.203041019855168,0.135298903278448,-0.0321009130217714,0.0705064449969252
"Patagioenas cayennensis",0,20,NA,1,1.47053896691844,0.0303709930304879,-0.37093602522314,1.10195015015676,0.665046767131809,-0.0209020628640813,0.699704615784095,1.40576505718376,-0.716579714506635,0.520052140638936,-0.943214109824524,0.838661132750225,1.05609553357388,-0.0681677345956312
"Phaeomyias murina",3,7,NA,NA,-0.894929324367323,-0.720898698785976,-0.511841576636265,-0.680861797476137,-0.492966393077624,-0.308906925457113,-0.588516970874959,-1.47021825007667,0.642765927970291,-0.243327844302531,-0.0672823347061899,-0.0234612350665832,-0.253915719828792,-0.12591366103383
"Phaethornis anthophilus",0,15,NA,1,-1.29353805866783,0.702559664655745,-0.911073972306785,-0.65939937435054,-0.28502004305649,-1.16679375020231,2.27419766614516,-1.53318340910415,-2.80607344471404,-0.00273757174884731,-0.475495606909602,-0.968716337315836,0.105630409285841,0.0291221200093086
"Phaethornis guy",0,4,NA,1,-1.24398152500385,1.04147832261806,-0.676231386618243,-0.630782810183078,-0.256403572870095,-1.16679375020231,2.57998763873595,-1.24713854470957,-3.19548037950069,0.0542117078588582,-0.270241810120839,-1.15791443608343,0.0802024498751572,0.105571355207368
"Phaethornis striigularis",0,3,NA,1,-1.8044901559612,-0.0148181613644874,-0.88758971373793,-0.918379280066073,-0.790577683016127,-1.20968809143957,2.72312337058695,-2.40430959007694,-3.15615631694021,0.0862692015587471,-0.27439112879496,-0.473914648855388,-0.4328961978519,0.106271564137504
"Pheugopedius fasciatoventris",2,9,NA,NA,-0.233542231634886,-0.212520711842504,-0.511841576636265,-0.516316553513229,-0.485335334361252,-0.0699241671352355,-0.855269925688197,-0.791099613938742,0.83666495225356,-0.545442541793727,0.031793780539959,-0.0585631570104888,0.271234915809231,0.0253199297859197
