"Species","Abundance","Period","Di"
"Berlepschia rikeri",1,"MODERN",2.62827481211005
"Bubulcus ibis",2,"MODERN",5.29827665536267
"Buteo nitidus",3,"MODERN",4.8615778900405
"Butorides striata",5,"MODERN",4.32731662704728
"Cacicus cela",28,"MODERN",2.87477026633597
"Cacicus solitarius",4,"MODERN",2.90804359463692
"Campephilus melanoleucos",2,"MODERN",3.72404443855223
"Camptostoma obsoletum",8,"MODERN",3.12364469515546
"Cantorchilus leucotis",38,"MODERN",2.79345353235534
"Capito auratus",24,"MODERN",2.63121874539484
"Capito aurovirens",5,"MODERN",2.75358323293797
"Caracara plancus",2,"MODERN",6.88903372589794
"Cathartes aura",3,"MODERN",7.86353348603635
"Celeus elegans",2,"MODERN",3.03880263884341
"Celeus grammicus",2,"MODERN",2.60348153464785
"Chaetura brachyura",1,"MODERN",4.31612320784789
"Charadrius collaris",3,"MODERN",3.31362032551079
"Chionomesa fimbriata",15,"MODERN",4.40598681404498
"Chlorestes notata",1,"MODERN",4.64355862206011
"Chloroceryle aenea",2,"MODERN",3.0559552978195
"Chloroceryle amazona",2,"MODERN",4.12318804117578
"Chloroceryle americana",4,"MODERN",3.04709115367955
"Chlorophanes spiza",5,"MODERN",2.65397712918972
"Chrysuronia oenone",11,"MODERN",4.37002544740589
"Coccycua minuta",1,"MODERN",3.02018586556455
"Coccyzus melacoryphus",4,"MODERN",2.88828498357263
"Colaptes punctigula",2,"MODERN",2.58623693092873
"Columbina minuta",1,"MODERN",2.8456935848076
"Columbina talpacoti",8,"MODERN",2.73686095116047
"Coragyps atratus",13,"MODERN",7.19971967043238
"Crotophaga ani",80,"MODERN",3.56994721820414
"Crotophaga major",1,"MODERN",4.97352902673206
"Crypturellus cinereus",8,"MODERN",3.84609100624777
"Crypturellus soui",1,"MODERN",3.20717753597433
"Cyanerpes caeruleus",29,"MODERN",2.95607793817079
"Cyanocorax violaceus",56,"MODERN",4.17330821084933
"Daptrius ater",7,"MODERN",5.06299378944342
"Dendrocincla fuliginosa",20,"MODERN",2.5779182758501
"Dendrocolaptes picumnus",1,"MODERN",3.02316595720235
"Dendroplex picus",11,"MODERN",2.59454227806812
"Donacobius atricapilla",8,"MODERN",2.85532156176554
"Doryfera johannae",2,"MODERN",4.53161722877006
"Dryobates affinis",2,"MODERN",2.53236440519495
"Dryobates passerinus",1,"MODERN",2.67942932374148
"Elaenia parvirostris",3,"MODERN",2.73724171968854
"Empidonomus varius",8,"MODERN",2.56670442806494
"Euphonia chrysopasta",5,"MODERN",2.86016998782112
"Euphonia laniirostris",7,"MODERN",2.82469407046078
"Euphonia minuta",1,"MODERN",3.08438847621605
"Euphonia xanthogaster",4,"MODERN",2.85235000632951
"Falco rufigularis",1,"MODERN",3.50415409406845
"Florisuga mellivora",8,"MODERN",4.33137228578231
"Galbalcyrhynchus leucotis",7,"MODERN",3.28921614367583
"Geotrygon montana",1,"MODERN",2.94576720495187
"Glaucis hirsutus",15,"MODERN",4.14497543810708
"Glyphorynchus spirurus",18,"MODERN",2.69296435956203
"Hemitriccus striaticollis",18,"MODERN",3.09741822791902
"Herpetotheres cachinnans",6,"MODERN",5.34513562036577
"Hydropsalis climacocerca",1,"MODERN",3.59455591391452
"Hypocnemis peruviana",20,"MODERN",2.96416314705389
"Ictinia plumbea",1,"MODERN",4.32144544702921
"Jacana jacana",2,"MODERN",3.56671735488787
"Laterallus exilis",2,"MODERN",2.84084336387436
"Legatus leucophaius",19,"MODERN",2.65889248048658
"Leistes militaris",5,"MODERN",2.61363482729587
"Lepidothrix coronata",16,"MODERN",3.12369680362718
"Leptopogon amaurocephalus",31,"MODERN",2.81235489177936
"Leptotila rufaxilla",16,"MODERN",3.00113482138896
"Machaeropterus striolatus",24,"MODERN",3.17493087909269
"Manacus manacus",67,"MODERN",2.88251610916492
"Megaceryle torquata",5,"MODERN",5.15983636317619
"Megarynchus pitangua",3,"MODERN",3.30202414255489
"Melanerpes cruentatus",18,"MODERN",2.65553629242595
"Mesembrinibis cayennensis",5,"MODERN",7.20052454251473
"Metopothrix aurantiaca",12,"MODERN",2.93265497468759
"Microcerculus marginatus",7,"MODERN",2.99636954472072
"Milvago chimachima",9,"MODERN",4.82207759387197
"Mionectes oleagineus",21,"MODERN",2.84405603233249
"Molothrus bonariensis",4,"MODERN",2.56029690557664
"Molothrus oryzivorus",1,"MODERN",3.48354387770069
"Monasa nigrifrons",7,"MODERN",3.02459527609394
"Mustelirallus albicollis",1,"MODERN",3.16791189230179
"Myiarchus ferox",16,"MODERN",2.61570469234499
"Myiarchus tuberculifer",12,"MODERN",2.57599620363619
"Myiodynastes maculatus",13,"MODERN",2.7971801110073
"Myiopagis gaimardii",1,"MODERN",2.8236503378136
"Myiozetetes cayanensis",1,"MODERN",2.5766010140545
"Myiozetetes granadensis",8,"MODERN",2.54062798643267
"Myiozetetes similis",10,"MODERN",2.52767770839688
"Myrmelastes leucostigma",1,"MODERN",2.77394976638093
"Myrmoborus myotherinus",1,"MODERN",2.77701463809788
"Nyctibius grandis",1,"MODERN",6.16582640737938
"Nyctidromus albicollis",3,"MODERN",3.11948280152927
"Ochthornis littoralis",3,"MODERN",2.69486433776509
"Opisthocomus hoazin",13,"MODERN",6.24618478737989
"Ortalis guttata",12,"MODERN",4.69271042667522
"Orthopsittaca manilatus",10,"MODERN",5.16510884009252
"Pachyramphus polychopterus",14,"MODERN",2.61487283299914
"Pandion haliaetus",1,"MODERN",7.40229101434044
"Paroaria gularis",10,"MODERN",2.5782197943273
"Patagioenas cayennensis",10,"MODERN",3.34327167049485
"Penelope jacquacu",3,"MODERN",7.33123764638246
"Phaeomyias murina",7,"MODERN",2.9042387058326
"Phaethornis atrimentalis",30,"MODERN",4.73615423027294
"Phaethornis bourcieri",3,"MODERN",4.56242736847655
"Phaethornis malaris",2,"MODERN",4.4520868432063
"Pheugopedius coraya",1,"MODERN",2.7688573660821
"Phimosus infuscatus",1,"MODERN",6.80497936464442
"Piaya cayana",5,"MODERN",4.90440759355692
"Picumnus lafresnayi",10,"MODERN",3.22826761560989
"Picumnus squamulatus",1,"MODERN",3.07955832805766
"Pitangus lictor",5,"MODERN",2.52318086335096
"Pitangus sulphuratus",15,"MODERN",2.80272334696746
"Poecilotriccus latirostris",23,"MODERN",3.07793995397737
"Psarocolius angustifrons",34,"MODERN",4.34301105417662
"Psarocolius decumanus",14,"MODERN",4.19538441785663
"Pteroglossus castanotis",15,"MODERN",7.75868638287127
"Pteroglossus pluricinctus",3,"MODERN",7.63159953102396
"Ramphastos tucanus",1,"MODERN",11.8674594798519
"Ramphocelus carbo",97,"MODERN",2.58563291435966
"Ramphocelus nigrogularis",2,"MODERN",2.53187360949595
"Ramphotrigon megacephalum",1,"MODERN",2.7564090756762
"Rhynchocyclus olivaceus",5,"MODERN",2.75859944026441
"Rupornis magnirostris",21,"MODERN",4.38610689013428
"Saltator coerulescens",3,"MODERN",2.72960390452307
"Saltator maximus",18,"MODERN",2.67123110560143
"Schiffornis major",2,"MODERN",2.68601077393489
"Schistochlamys melanopis",2,"MODERN",2.57285523891229
"Sicalis flaveola",6,"MODERN",2.66604974987193
"Sporophila angolensis",17,"MODERN",2.82045843709444
"Sporophila castaneiventris",2,"MODERN",3.07803359798714
"Sporophila murallae",2,"MODERN",2.89002260919965
"Stelgidopteryx ruficollis",1,"MODERN",3.46338908325794
"Synallaxis albigularis",2,"MODERN",2.8662396647006
"Syrigma sibilatrix",6,"MODERN",6.14978389743253
"Tachornis squamata",7,"MODERN",4.28496137356911
"Tachycineta albiventer",5,"MODERN",3.42014405829512
"Tachyphonus rufus",3,"MODERN",2.52674710659753
"Tangara gyrola",5,"MODERN",2.63089986798038
"Tangara mexicana",13,"MODERN",2.68446393584097
"Tapera naevia",5,"MODERN",2.98895081213791
"Thalurania furcata",3,"MODERN",4.43570122775037
"Thraupis episcopus",35,"MODERN",2.54879074636885
"Thraupis palmarum",19,"MODERN",2.53159041259015
"Tigrisoma lineatum",3,"MODERN",8.0066892349401
"Tityra cayana",4,"MODERN",2.93948317027246
"Todirostrum chrysocrotaphum",15,"MODERN",3.13093968386797
"Todirostrum cinereum",5,"MODERN",3.1415954342015
"Tolmomyias flaviventris",5,"MODERN",2.79591063152472
"Tolmomyias poliocephalus",29,"MODERN",2.87575138733857
"Tolmomyias sulphurescens",5,"MODERN",2.70767416950086
"Troglodytes aedon",4,"MODERN",2.99635670921863
"Trogon viridis",18,"MODERN",3.42788067248826
"Turdus ignobilis",24,"MODERN",2.69022495680766
"Tyrannulus elatus",10,"MODERN",3.20175074294134
"Tyrannus melancholicus",68,"MODERN",2.7179385847368
"Vanellus cayanus",2,"MODERN",3.46049162969255
"Vanellus chilensis",12,"MODERN",4.71694907582162
"Volatinia jacarina",25,"MODERN",3.00053938627516
"Zimmerius gracilipes",3,"MODERN",3.20630534055845
