"Species","Abundance","Period","Di"
"Laterallus albigularis",5,"MODERN",2.33119995517503
"Legatus leucophaius",10,"MODERN",2.0443678557587
"Leistes militaris",5,"MODERN",2.06076284369923
"Lepidocolaptes souleyetii",19,"MODERN",2.15581626677978
"Leptopogon amaurocephalus",11,"MODERN",2.09353960744324
"Leptotila verreauxi",52,"MODERN",2.63429807937726
"Loriotus luctuosus",8,"MODERN",2.00797184561411
"Machaeropterus striolatus",2,"MODERN",2.44208050220851
"Machetornis rixosa",1,"MODERN",2.01228541049799
"Manacus manacus",26,"MODERN",2.16020945405717
"Megaceryle torquata",1,"MODERN",5.21882689940302
"Megarynchus pitangua",11,"MODERN",3.03486274984142
"Megascops choliba",1,"MODERN",2.65307063024682
"Melanerpes rubricapillus",43,"MODERN",2.07239147489375
"Melanospiza bicolor",4,"MODERN",2.25507500314262
"Microcerculus marginatus",9,"MODERN",2.29210391473201
"Milvago chimachima",25,"MODERN",4.96099530665557
"Mimus gilvus",1,"MODERN",2.35447135570723
"Mionectes oleagineus",25,"MODERN",2.11248961407383
"Molothrus bonariensis",1,"MODERN",2.08962213271078
"Momotus aequatorialis",1,"MODERN",5.07231305812286
"Momotus subrufescens",1,"MODERN",3.84059935205065
"Myiarchus apicalis",12,"MODERN",2.20234420078074
"Myiarchus crinitus",1,"MODERN",2.11569144880906
"Myiarchus panamensis",5,"MODERN",2.05362856563208
"Myiodynastes maculatus",14,"MODERN",2.40341426727674
"Myiopagis gaimardii",5,"MODERN",2.08921206172477
"Myiopagis viridicata",14,"MODERN",2.09066665774439
"Myiophobus fasciatus",1,"MODERN",2.08990829599479
"Myiothlypis fulvicauda",8,"MODERN",2.01795722935203
"Myiozetetes cayanensis",42,"MODERN",1.94626201487141
"Myiozetetes similis",4,"MODERN",1.91821096307672
"Myrmeciza longipes",23,"MODERN",2.27647036408709
"Notharchus tectus",1,"MODERN",2.25695660232869
"Nyctibius griseus",1,"MODERN",4.34656195052407
"Nyctidromus albicollis",1,"MODERN",2.80391603769548
"Ortalis columbiana",5,"MODERN",5.72852105912246
"Pachyramphus cinnamomeus",2,"MODERN",2.0039117203462
"Pachysylvia semibrunnea",2,"MODERN",2.12409173475479
"Parkesia noveboracensis",1,"MODERN",2.09732623682289
"Patagioenas cayennensis",20,"MODERN",3.14997065536429
"Phaeomyias murina",7,"MODERN",2.15911444963584
"Phaethornis anthophilus",15,"MODERN",3.7805561440941
"Phaethornis guy",4,"MODERN",4.02717290528507
"Phaethornis striigularis",3,"MODERN",4.24369411125679
"Pheugopedius fasciatoventris",9,"MODERN",2.06478958967579
"Pheugopedius mystacalis",2,"MODERN",2.13084705696181
"Pheugopedius sclateri",5,"MODERN",2.119062787235
"Phimosus infuscatus",18,"MODERN",6.99065686758597
"Phyllomyias griseiceps",2,"MODERN",2.3694152618254
"Phyllomyias plumbeiceps",2,"MODERN",2.21315589469192
"Piaya cayana",3,"MODERN",4.78885682757592
"Picumnus olivaceus",9,"MODERN",2.40728280541726
"Pionus menstruus",29,"MODERN",3.65619902569278
"Piranga rubra",11,"MODERN",2.15316083553269
"Pitangus lictor",1,"MODERN",1.94255019524245
"Pitangus sulphuratus",33,"MODERN",2.44948530597487
"Platyrinchus mystaceus",1,"MODERN",2.37493991167953
"Poecilotriccus sylvia",6,"MODERN",2.42085492307909
"Polioptila plumbea",35,"MODERN",2.47817103307512
"Polyerata amabilis",1,"MODERN",4.05456579780717
"Ramphocaenus melanurus",3,"MODERN",2.45763286227091
"Ramphocelus dimidiatus",30,"MODERN",1.95190022202732
"Rupornis magnirostris",9,"MODERN",4.41827029942904
"Saltator coerulescens",2,"MODERN",2.3013417597892
"Saltator maximus",9,"MODERN",2.21430848390094
"Saltator striatipectus",26,"MODERN",2.18735210707956
"Setophaga castanea",6,"MODERN",2.20508329208228
"Setophaga fusca",8,"MODERN",2.35217320924857
"Setophaga petechia",4,"MODERN",2.19140787346257
"Setophaga ruticilla",1,"MODERN",2.20866518441339
"Sicalis flaveola",24,"MODERN",1.98264271974924
"Sipia palliata",3,"MODERN",2.13137287856324
"Sporophila crassirostris",1,"MODERN",2.11896644142142
"Sporophila funerea",4,"MODERN",2.15383143178005
"Sporophila intermedia",18,"MODERN",2.16011390520317
"Sporophila minuta",1,"MODERN",2.32186864880693
"Sporophila nigricollis",8,"MODERN",2.29125111147417
"Sporophila schistacea",1,"MODERN",2.15678295734918
"Stelgidopteryx ruficollis",1,"MODERN",3.03147279505857
"Stilpnia cyanicollis",8,"MODERN",2.01747710349515
"Stilpnia vitriolina",12,"MODERN",1.95183394228403
"Synallaxis albescens",7,"MODERN",2.22194348037053
"Syrigma sibilatrix",1,"MODERN",6.32554071407298
"Tangara gyrola",4,"MODERN",1.96101273231511
"Tangara inornata",1,"MODERN",2.02022351647696
"Tapera naevia",1,"MODERN",2.5836140074557
"Thamnophilus atrinucha",33,"MODERN",2.0732789841496
"Thamnophilus doliatus",32,"MODERN",2.09802954390474
"Thamnophilus multistriatus",9,"MODERN",2.07490606899055
"Thraupis episcopus",49,"MODERN",1.97404281163154
"Thraupis palmarum",15,"MODERN",1.96810723851135
"Threnetes ruckeri",3,"MODERN",3.89028965129815
"Tityra inquisitor",2,"MODERN",2.54757295126706
"Todirostrum cinereum",30,"MODERN",2.40571260014354
"Tolmomyias sulphurescens",22,"MODERN",2.00573220561888
"Tringa solitaria",2,"MODERN",3.07875090857967
"Troglodytes aedon",48,"MODERN",2.25069781708595
"Turdus ignobilis",26,"MODERN",2.25336403333408
"Turdus leucomelas",28,"MODERN",2.26952022990829
