"Species","Abundance","Period","Di"
"Querula purpurata",6,"HISTORICAL",3.07268150494606
"Ramphastos tucanus",6,"HISTORICAL",11.6802289474403
"Ramphocelus carbo",12,"HISTORICAL",2.1078060702997
"Ramphocelus nigrogularis",5,"HISTORICAL",2.0550937471834
"Rhynchocyclus olivaceus",4,"HISTORICAL",2.27244062158067
"Rhytipterna simplex",1,"HISTORICAL",2.12355712589321
"Rupornis magnirostris",2,"HISTORICAL",4.33283001599642
"Saltator coerulescens",4,"HISTORICAL",2.30121651357708
"Saltator maximus",5,"HISTORICAL",2.23392963565961
"Sclerurus caudacutus",5,"HISTORICAL",2.09963068602753
"Selenidera reinwardtii",4,"HISTORICAL",4.52039358498034
"Sporophila castaneiventris",1,"HISTORICAL",2.61067104339419
"Sporophila murallae",1,"HISTORICAL",2.40205584341869
"Sporophila nigricollis",1,"HISTORICAL",2.54576329363972
"Stelgidopteryx ruficollis",1,"HISTORICAL",3.23784033046472
"Stilpnia nigrocincta",1,"HISTORICAL",2.24771143096053
"Synallaxis rutilans",3,"HISTORICAL",2.33888559211717
"Tachycineta albiventer",13,"HISTORICAL",3.18276846156323
"Tachyphonus surinamus",3,"HISTORICAL",2.08439404709917
"Tangara chilensis",1,"HISTORICAL",2.18515931362647
"Tangara mexicana",2,"HISTORICAL",2.22884491705973
"Tangara schrankii",1,"HISTORICAL",2.25833344908312
"Thalurania furcata",2,"HISTORICAL",4.3044159263248
"Thamnomanes ardesiacus",8,"HISTORICAL",2.12091712775652
"Thamnomanes caesius",6,"HISTORICAL",2.17871194432616
"Thamnophilus schistaceus",4,"HISTORICAL",2.15594468171038
"Thraupis episcopus",7,"HISTORICAL",2.10193432170644
"Thraupis palmarum",5,"HISTORICAL",2.08804396177617
"Tityra cayana",2,"HISTORICAL",2.56130710911965
"Tityra inquisitor",2,"HISTORICAL",2.52554806982521
"Tolmomyias assimilis",1,"HISTORICAL",2.17126178791284
"Tolmomyias poliocephalus",4,"HISTORICAL",2.38644567930313
"Trogon curucui",3,"HISTORICAL",2.78280145522606
"Trogon melanurus",2,"HISTORICAL",3.15963667078705
"Trogon ramonianus",1,"HISTORICAL",2.84069984573275
"Trogon rufus",3,"HISTORICAL",2.82311242353932
"Trogon viridis",4,"HISTORICAL",3.15054038509313
"Turdus albicollis",4,"HISTORICAL",2.25343717301283
"Turdus ignobilis",6,"HISTORICAL",2.30294426639828
"Tyrannulus elatus",1,"HISTORICAL",2.76097926206967
"Tyrannus melancholicus",1,"HISTORICAL",2.30429444393858
"Willisornis poecilinotus",3,"HISTORICAL",2.18387726221047
"Xiphorhynchus elegans",1,"HISTORICAL",2.13572301485744
"Xiphorhynchus guttatus",1,"HISTORICAL",2.49699420619635
"Actitis macularius",1,"MODERN",3.19124726267676
"Amazona amazonica",4,"MODERN",4.43915630755791
"Ammodramus aurifrons",47,"MODERN",2.83840838305333
"Anhima cornuta",6,"MODERN",9.57651811357797
"Anthracothorax nigricollis",1,"MODERN",4.25606820578269
"Ara severus",15,"MODERN",5.71499401919884
"Arremonops conirostris",11,"MODERN",2.74272307522381
"Atticora fasciata",29,"MODERN",3.4160463692789
"Attila cinnamomeus",7,"MODERN",2.66121256144951
"Attila spadiceus",25,"MODERN",2.54979513250029
"Baryphthengus martii",1,"MODERN",4.67023229227877
"Berlepschia rikeri",1,"MODERN",2.59836075039638
"Bubulcus ibis",2,"MODERN",5.23191656856235
"Buteo nitidus",3,"MODERN",4.79893549313722
"Butorides striata",5,"MODERN",4.2613334300754
"Cacicus cela",28,"MODERN",2.83712553306538
"Cacicus solitarius",4,"MODERN",2.87230091011253
"Campephilus melanoleucos",2,"MODERN",3.67241242254981
