"Species","Abundance","Period","Di"
"Pygochelidon cyanoleuca",13,"MODERN",2.97040813547724
"Pyrilia pulchra",2,"MODERN",3.00989369997427
"Querula purpurata",44,"MODERN",3.25759573289738
"Ramphastos ambiguus",18,"MODERN",11.4310097653069
"Ramphastos brevis",25,"MODERN",9.32314795384372
"Ramphocelus flammigerus",54,"MODERN",2.22524326815097
"Rhynchocyclus pacificus",5,"MODERN",2.29366710373462
"Rhynchortyx cinctus",2,"MODERN",2.83862618730447
"Rhytipterna holerythra",1,"MODERN",2.24236870095649
"Riparia riparia",3,"MODERN",3.1172208234957
"Rupornis magnirostris",10,"MODERN",4.53271883715116
"Saltator grossus",4,"MODERN",2.44151973104792
"Saltator maximus",14,"MODERN",2.34969402675518
"Sapayoa aenigma",5,"MODERN",2.16978727054973
"Setophaga petechia",12,"MODERN",2.32034382913817
"Sipia berlepschi",13,"MODERN",2.38084994887022
"Spizaetus ornatus",1,"MODERN",8.02104359725665
"Spizaetus tyrannus",2,"MODERN",8.27261060066616
"Sporophila corvina",25,"MODERN",2.29463734047234
"Sporophila funerea",18,"MODERN",2.28959223806232
"Sporophila nigricollis",11,"MODERN",2.42812266911952
"Stelgidopteryx ruficollis",4,"MODERN",2.97526648968111
"Stilpnia cyanicollis",2,"MODERN",2.13756172657279
"Stilpnia larvata",27,"MODERN",2.12999263834467
"Streptoprocne zonaris",17,"MODERN",3.99856400263293
"Tachyphonus delatrii",69,"MODERN",2.11542896890329
"Tachyphonus rufus",3,"MODERN",2.12675331798644
"Tangara johannae",2,"MODERN",2.12829225492646
"Taraba major",4,"MODERN",2.70630133810373
"Terenotriccus erythrurus",8,"MODERN",2.55449851370727
"Thalurania colombica",2,"MODERN",4.11492072585116
"Thamnophilus atrinucha",88,"MODERN",2.26801442220115
"Thraupis episcopus",33,"MODERN",2.09604728632427
"Thraupis palmarum",12,"MODERN",2.10010377952789
"Threnetes ruckeri",13,"MODERN",3.80741322242532
"Tinamus major",3,"MODERN",4.92733137868163
"Todirostrum cinereum",3,"MODERN",2.54333268292763
"Todirostrum nigriceps",1,"MODERN",2.610775073426
"Tolmomyias assimilis",2,"MODERN",2.13720561714601
"Troglodytes aedon",18,"MODERN",2.42292783338955
"Trogon chionurus",30,"MODERN",3.15711336786538
"Trogon rufus",2,"MODERN",2.84314471804764
"Trogon viridis",1,"MODERN",3.25534709678381
"Tyrannulus elatus",13,"MODERN",2.580013215341
"Tyrannus melancholicus",24,"MODERN",2.37565343567326
"Tyrannus tyrannus",1,"MODERN",2.36044515202595
"Vanellus chilensis",3,"MODERN",4.83239718129319
"Vireo chivi",3,"MODERN",2.10663858711123
"Volatinia jacarina",14,"MODERN",2.40722530561666
"Xenops minutus",9,"MODERN",2.29395349014876
"Xiphorhynchus lachrymosus",1,"MODERN",2.61713173139579
