"Species","Abundance","Period","Di"
"Hemitriccus margaritaceiventer",6,"MODERN",2.40306309310186
"Henicorhina leucosticta",19,"MODERN",2.32394469901165
"Herpetotheres cachinnans",8,"MODERN",5.59918966492167
"Hylophilus flavipes",91,"MODERN",2.199639149275
"Hypnelus ruficollis",7,"MODERN",2.63373915857525
"Icterus auricapillus",1,"MODERN",2.02795300429251
"Icterus chrysater",7,"MODERN",2.17195721349554
"Icterus galbula",1,"MODERN",2.0204930685241
"Icterus nigrogularis",9,"MODERN",2.04543877937365
"Jacana jacana",15,"MODERN",3.27962175076927
"Laterallus albigularis",5,"MODERN",2.36354731591504
"Legatus leucophaius",10,"MODERN",2.06782904354593
"Leistes militaris",5,"MODERN",2.08445978953819
"Lepidocolaptes souleyetii",19,"MODERN",2.18564195738049
"Leptopogon amaurocephalus",11,"MODERN",2.1171027272281
"Leptotila verreauxi",52,"MODERN",2.66421973245277
"Loriotus luctuosus",8,"MODERN",2.03053172113609
"Machaeropterus striolatus",2,"MODERN",2.47552951147603
"Machetornis rixosa",1,"MODERN",2.03633571220789
"Manacus manacus",26,"MODERN",2.18878758134025
"Megaceryle torquata",1,"MODERN",5.30616868289279
"Megarynchus pitangua",11,"MODERN",3.08085524734343
"Megascops choliba",1,"MODERN",2.68238380413153
"Melanerpes rubricapillus",43,"MODERN",2.09556752382353
"Melanospiza bicolor",4,"MODERN",2.28139833865027
"Microcerculus marginatus",9,"MODERN",2.32248190127909
"Milvago chimachima",25,"MODERN",5.03465053672536
"Mimus gilvus",1,"MODERN",2.38796616822387
"Mionectes oleagineus",25,"MODERN",2.13665523957506
"Molothrus bonariensis",1,"MODERN",2.11320344145746
"Momotus aequatorialis",1,"MODERN",5.1869918460258
"Momotus subrufescens",1,"MODERN",3.92097950107801
"Myiarchus apicalis",12,"MODERN",2.22570995953913
"Myiarchus crinitus",1,"MODERN",2.14423077555004
"Myiarchus panamensis",5,"MODERN",2.08055188068225
"Myiodynastes maculatus",14,"MODERN",2.43743890028618
"Myiopagis gaimardii",5,"MODERN",2.11351957756819
"Myiopagis viridicata",14,"MODERN",2.11466222591656
"Myiophobus fasciatus",1,"MODERN",2.11252495708441
"Myiothlypis fulvicauda",8,"MODERN",2.04091374873569
"Myiozetetes cayanensis",42,"MODERN",1.96886102461555
